"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Ben Lively","Phillies","26","6.85","8.37","3.80","2.20","12.93","1.52",".333","1.86",".395","70.1 %","0.69","32.5 %","27.5 %","40.0 %","15.6 %","12.5 %","9.1 %","0.0 %","5.18","22.1 %","61.8 %","41.7 %","74.5 %","83.6 %","81.1 %","49.3 %","56.5 %","7.9 %","19.1 %","8.7 %","4.78","4.18","10.4 %","36.3 %","31.3 %","32.5 %","26.3 %","38.8 %","35.0 %","14932"
"Yefry Ramirez","Orioles","24","6.92","8.94","5.40","1.66","9.45","1.86",".264","1.65",".304","65.3 %","0.67","19.9 %","32.1 %","48.1 %","14.7 %","14.7 %","12.0 %","66.7 %","5.52","28.0 %","71.9 %","44.7 %","63.6 %","83.7 %","75.9 %","38.0 %","59.3 %","10.8 %","21.4 %","12.9 %","5.06","2.03","8.5 %","39.0 %","34.0 %","27.0 %","23.3 %","45.9 %","30.8 %","15655"
"Jacob Nix","Padres","22","7.02","4.46","2.76","1.62","11.06","1.70",".301","1.54",".306","62.3 %","1.02","21.2 %","39.7 %","39.0 %","1.8 %","14.0 %","1.7 %","0.0 %","5.60","26.0 %","64.3 %","44.4 %","76.4 %","89.1 %","85.2 %","47.9 %","58.4 %","6.6 %","11.1 %","6.8 %","5.49","3.83","4.2 %","32.2 %","33.6 %","34.2 %","10.5 %","46.1 %","43.4 %","17775"
"Paul Blackburn","Athletics","24","7.16","6.18","1.95","3.17","10.73","0.65",".297","1.41",".344","47.1 %","1.48","20.9 %","47.3 %","31.9 %","10.3 %","6.9 %","2.3 %","100.0 %","4.39","35.2 %","72.7 %","48.3 %","71.3 %","92.0 %","82.2 %","34.9 %","56.3 %","8.6 %","16.0 %","5.0 %","4.43","3.90","10.9 %","55.4 %","29.4 %","15.2 %","15.2 %","56.5 %","28.3 %","14739"
"Josh Tomlin","Indians","33","7.17","5.70","1.27","4.50","12.66","3.80",".321","1.55",".296","78.1 %","0.57","22.0 %","28.3 %","49.7 %","8.9 %","22.8 %","8.9 %","0.0 %","5.66","33.9 %","73.0 %","49.7 %","67.1 %","90.7 %","81.1 %","40.5 %","60.4 %","9.4 %","13.7 %","3.1 %","5.14","4.64","10.7 %","42.5 %","36.9 %","20.6 %","16.9 %","40.6 %","42.5 %","9388"
"Yohander Mendez","Rangers","23","7.29","5.57","5.14","1.08","9.86","1.71",".277","1.67",".288","57.8 %","0.81","20.0 %","35.7 %","44.3 %","9.7 %","12.9 %","12.0 %","0.0 %","6.08","25.9 %","66.5 %","43.6 %","67.9 %","88.3 %","81.4 %","43.6 %","44.2 %","8.1 %","13.7 %","12.6 %","5.98","10.29","1.1 %","48.6 %","30.0 %","21.4 %","17.1 %","41.4 %","41.4 %","14391"
"Luis Perdomo","Padres","25","7.38","7.80","4.43","1.76","12.87","0.84",".330","1.92",".396","60.5 %","1.54","28.8 %","43.2 %","28.1 %","9.8 %","9.8 %","6.3 %","0.0 %","4.70","24.7 %","63.4 %","41.0 %","74.6 %","87.3 %","82.9 %","42.1 %","62.2 %","7.0 %","17.7 %","10.1 %","4.86","3.38","7.7 %","41.2 %","35.1 %","23.7 %","18.2 %","41.2 %","40.5 %","14682"
"Brandon Finnegan","Reds","25","7.40","6.10","6.53","0.93","11.76","2.18",".307","2.03",".319","62.9 %","1.04","23.0 %","39.2 %","37.8 %","3.6 %","17.9 %","13.8 %","0.0 %","6.22","27.6 %","72.6 %","45.0 %","80.6 %","85.6 %","83.7 %","38.6 %","54.4 %","7.3 %","13.6 %","14.6 %","6.18","5.23","-1.0 %","44.6 %","29.7 %","25.7 %","20.3 %","44.6 %","35.1 %","16208"
"Ryan Carpenter","Tigers","27","7.48","5.82","1.25","4.67","14.12","3.32",".347","1.71",".342","71.9 %","1.12","33.7 %","34.9 %","31.3 %","3.8 %","30.8 %","20.7 %","0.0 %","4.54","28.6 %","72.5 %","48.3 %","68.8 %","89.4 %","82.7 %","44.8 %","56.3 %","8.4 %","13.6 %","2.9 %","4.69","5.82","10.7 %","40.5 %","32.1 %","27.4 %","13.1 %","46.4 %","40.5 %","12699"
"Kendall Graveman","Athletics","27","7.60","7.08","3.41","2.08","11.53","2.36",".306","1.66",".324","57.3 %","1.94","16.4 %","55.2 %","28.4 %","6.1 %","27.3 %","3.1 %","100.0 %","4.40","28.8 %","59.7 %","40.7 %","72.3 %","89.0 %","81.7 %","38.5 %","62.7 %","7.4 %","17.1 %","8.2 %","4.47","5.24","8.9 %","44.4 %","30.8 %","24.8 %","18.8 %","51.3 %","29.9 %","15514"
"Matt Moore","Rangers","29","8.02","6.71","4.25","1.58","14.24","1.31",".349","2.05",".395","59.6 %","0.91","20.2 %","38.0 %","41.8 %","11.5 %","9.2 %","13.9 %","0.0 %","5.92","30.4 %","68.6 %","48.1 %","64.7 %","88.0 %","80.1 %","46.4 %","64.5 %","9.6 %","14.7 %","9.3 %","5.35","5.40","5.4 %","39.4 %","37.0 %","23.6 %","14.4 %","38.5 %","47.1 %","1890"
"Ervin Santana","Twins","35","8.03","5.84","3.28","1.78","11.31","3.28",".301","1.62",".282","68.0 %","0.38","17.2 %","23.0 %","59.8 %","11.5 %","17.3 %","5.0 %","0.0 %","6.68","32.0 %","65.3 %","45.5 %","81.7 %","97.4 %","90.8 %","40.3 %","67.5 %","4.2 %","14.0 %","7.9 %","5.95","8.76","6.1 %","39.1 %","33.3 %","27.6 %","20.7 %","42.5 %","36.8 %","3200"
"Carson Fulmer","White Sox","24","8.13","7.55","6.97","1.08","9.87","2.03",".266","1.87",".284","60.2 %","0.72","21.8 %","32.7 %","45.5 %","6.5 %","15.2 %","6.1 %","0.0 %","6.74","23.4 %","62.3 %","39.2 %","68.2 %","93.1 %","84.3 %","40.6 %","52.2 %","6.2 %","16.6 %","15.3 %","6.01","9.58","1.3 %","41.2 %","34.3 %","24.5 %","14.7 %","53.9 %","31.4 %","18311"
"Drew Hutchison","Rangers","27","8.86","5.06","5.48","0.92","12.23","2.11",".319","1.97",".324","61.1 %","0.76","22.1 %","33.8 %","44.2 %","5.9 %","14.7 %","15.4 %","0.0 %","6.64","27.2 %","62.1 %","42.5 %","67.8 %","93.3 %","84.2 %","43.8 %","57.1 %","6.7 %","11.4 %","12.4 %","6.29","8.02","-1.0 %","46.8 %","29.1 %","24.1 %","19.0 %","46.8 %","34.2 %","10732"
"Burch Smith","Royals","28","9.67","8.06","3.63","2.22","11.69","2.42",".309","1.70",".338","49.0 %","1.12","24.7 %","39.7 %","35.6 %","3.8 %","23.1 %","6.9 %","100.0 %","4.64","30.5 %","67.7 %","47.0 %","61.6 %","85.9 %","77.1 %","44.2 %","56.7 %","10.8 %","19.2 %","8.7 %","4.62","4.43","10.6 %","50.0 %","29.7 %","20.3 %","16.2 %","46.0 %","37.8 %","12784"
"Chris Tillman","Orioles","30","10.46","4.39","5.74","0.76","14.18","2.03",".356","2.21",".364","55.1 %","1.26","25.2 %","41.7 %","33.0 %","5.9 %","17.6 %","4.7 %","50.0 %","6.43","22.2 %","71.0 %","42.3 %","72.1 %","94.7 %","87.7 %","41.2 %","47.5 %","5.2 %","9.5 %","12.4 %","6.34","4.05","-2.9 %","46.7 %","30.5 %","22.9 %","8.6 %","48.6 %","42.9 %","5279"
