"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Eduardo Rodriguez","Red Sox","25","3.79","10.00","3.14","3.19","8.32","1.09",".238","1.27",".302","77.1 %","0.98","20.1 %","39.5 %","40.4 %","5.8 %","10.9 %","11.2 %","50.0 %","3.92","31.7 %","70.7 %","47.4 %","63.9 %","86.0 %","77.1 %","40.1 %","62.1 %","10.8 %","26.0 %","8.2 %","3.80","5.98","17.8 %","36.2 %","38.8 %","25.1 %","19.8 %","53.4 %","26.8 %","13164"
"Jose Berrios","Twins","24","3.84","9.45","2.85","3.31","7.44","1.17",".220","1.14",".270","75.8 %","1.08","20.1 %","41.5 %","38.4 %","9.2 %","12.8 %","5.7 %","38.5 %","3.89","32.8 %","66.7 %","47.3 %","61.2 %","86.1 %","76.2 %","42.8 %","64.5 %","11.3 %","25.4 %","7.7 %","3.80","4.59","17.7 %","41.5 %","31.9 %","26.7 %","19.8 %","46.1 %","34.2 %","14168"
"Kenta Maeda","Dodgers","30","3.85","10.62","3.34","3.18","8.11","0.92",".233","1.27",".309","72.0 %","1.15","24.7 %","40.3 %","35.0 %","6.1 %","11.1 %","5.3 %","16.7 %","3.49","32.5 %","68.8 %","48.5 %","51.9 %","83.7 %","71.8 %","44.2 %","64.2 %","13.7 %","27.7 %","8.7 %","3.66","4.26","19.0 %","43.3 %","32.9 %","23.9 %","16.6 %","43.3 %","40.1 %","18498"
"Ryan Borucki","Blue Jays","24","3.87","6.17","3.04","2.03","8.85","0.65",".253","1.32",".291","68.5 %","1.38","19.5 %","46.8 %","33.8 %","9.6 %","6.7 %","7.6 %","40.0 %","4.62","32.0 %","65.1 %","45.1 %","73.2 %","89.9 %","82.8 %","39.5 %","53.0 %","7.8 %","16.1 %","8.0 %","4.80","4.33","8.2 %","38.7 %","36.4 %","24.9 %","15.7 %","53.0 %","31.3 %","16350"
"Trevor Cahill","Athletics","30","3.91","8.32","3.40","2.45","7.56","0.68",".228","1.22",".284","67.3 %","2.00","19.4 %","53.7 %","26.9 %","6.6 %","10.5 %","2.6 %","33.3 %","3.74","29.8 %","63.0 %","43.2 %","54.1 %","85.5 %","72.5 %","40.3 %","57.5 %","11.9 %","22.5 %","9.2 %","4.05","5.52","13.3 %","44.5 %","38.0 %","17.5 %","13.4 %","46.6 %","40.1 %","6249"
"Reynaldo Lopez","White Sox","24","3.91","7.20","3.58","2.01","7.87","1.19",".231","1.27",".260","75.4 %","0.70","19.8 %","33.0 %","47.1 %","14.4 %","9.5 %","6.5 %","33.3 %","5.22","28.2 %","70.9 %","47.4 %","70.1 %","85.8 %","80.6 %","44.8 %","59.8 %","9.2 %","18.9 %","9.4 %","4.92","3.39","9.5 %","36.8 %","33.9 %","29.3 %","20.8 %","45.5 %","33.8 %","16400"
"Sean Newcomb","Braves","25","3.91","8.76","4.41","1.99","7.55","0.99",".224","1.33",".274","74.7 %","1.20","20.4 %","43.5 %","36.1 %","11.2 %","11.2 %","4.1 %","28.6 %","4.33","28.3 %","67.5 %","44.3 %","67.2 %","84.1 %","77.7 %","40.8 %","54.0 %","9.9 %","22.9 %","11.5 %","4.54","5.40","11.4 %","36.4 %","34.2 %","29.4 %","18.1 %","47.0 %","34.9 %","16943"
"Seth Lugo","Mets","28","3.91","10.57","2.35","4.50","9.39","1.57",".250","1.30",".308","65.6 %","1.30","22.1 %","44.1 %","33.8 %","0.0 %","17.4 %","10.0 %","0.0 %","3.25","29.5 %","63.5 %","44.1 %","65.7 %","85.0 %","77.6 %","42.9 %","62.8 %","9.9 %","26.5 %","5.9 %","3.42","3.13","20.6 %","34.8 %","43.5 %","21.7 %","15.9 %","50.7 %","33.3 %","12447"
"Kevin Gausman","- - -","27","3.92","7.25","2.45","2.96","9.26","1.27",".263","1.30",".299","76.8 %","1.37","20.6 %","46.0 %","33.5 %","10.0 %","13.7 %","3.8 %","66.7 %","4.19","33.4 %","69.9 %","49.0 %","63.9 %","85.2 %","76.9 %","42.8 %","57.1 %","11.3 %","19.1 %","6.4 %","4.28","4.41","12.6 %","34.5 %","36.3 %","29.3 %","17.9 %","47.5 %","34.7 %","14107"
"Lance McCullers Jr.","Astros","24","3.93","9.86","3.57","2.76","7.14","0.86",".216","1.19",".281","69.2 %","2.01","18.0 %","54.8 %","27.2 %","5.7 %","13.6 %","8.5 %","0.0 %","3.48","32.2 %","63.5 %","45.0 %","51.3 %","84.1 %","70.3 %","41.0 %","59.4 %","13.4 %","26.5 %","9.6 %","3.69","5.00","16.9 %","45.5 %","33.5 %","20.9 %","19.1 %","47.7 %","33.2 %","14120"
"Robbie Ray","Diamondbacks","26","3.93","12.01","5.09","2.36","7.06","1.38",".215","1.35",".292","80.5 %","1.02","22.3 %","39.2 %","38.5 %","11.9 %","17.4 %","3.6 %","33.3 %","3.77","29.8 %","62.8 %","42.6 %","50.2 %","84.4 %","69.9 %","38.9 %","58.8 %","12.9 %","31.4 %","13.3 %","3.89","5.89","18.1 %","40.2 %","33.6 %","26.2 %","14.7 %","40.9 %","44.4 %","11486"
"Chase Anderson","Brewers","30","3.93","7.29","3.25","2.25","7.46","1.71",".226","1.19",".239","81.1 %","0.78","21.3 %","34.5 %","44.2 %","14.4 %","15.4 %","6.6 %","18.2 %","4.79","30.5 %","69.5 %","46.7 %","71.8 %","85.5 %","80.2 %","41.4 %","63.0 %","9.2 %","19.9 %","8.9 %","4.68","4.39","11.0 %","40.0 %","31.9 %","28.1 %","20.8 %","42.9 %","36.3 %","6895"
"Julio Teheran","Braves","27","3.94","8.30","4.30","1.93","6.25","1.33",".193","1.17",".217","75.6 %","0.91","20.2 %","38.0 %","41.9 %","10.4 %","13.5 %","3.4 %","25.0 %","4.72","29.3 %","65.6 %","43.0 %","60.0 %","83.9 %","73.8 %","37.8 %","60.9 %","11.3 %","22.4 %","11.6 %","4.67","3.94","10.8 %","40.5 %","36.0 %","23.5 %","19.0 %","44.6 %","36.5 %","6797"
"Antonio Senzatela","Rockies","23","3.95","6.78","2.96","2.29","8.75","0.99",".251","1.30",".286","75.8 %","1.31","23.5 %","43.4 %","33.2 %","12.0 %","10.7 %","3.1 %","0.0 %","4.42","26.3 %","66.9 %","43.2 %","65.9 %","87.9 %","80.1 %","41.7 %","60.8 %","8.6 %","17.8 %","7.8 %","4.62","4.32","10.0 %","40.8 %","32.9 %","26.3 %","20.2 %","45.6 %","34.2 %","15488"
"Frankie Montas","Athletics","25","3.96","6.08","2.97","2.05","10.32","0.71",".286","1.48",".329","69.7 %","1.36","25.0 %","43.3 %","31.7 %","4.5 %","7.6 %","11.1 %","25.0 %","4.61","29.7 %","71.8 %","48.7 %","68.6 %","89.0 %","82.2 %","45.3 %","58.6 %","8.7 %","15.5 %","7.6 %","4.86","5.80","7.9 %","42.9 %","32.1 %","25.0 %","13.7 %","40.6 %","45.8 %","14309"
"Jake Arrieta","Phillies","32","3.96","7.19","2.97","2.42","8.60","1.09",".250","1.29",".287","68.1 %","1.80","19.8 %","51.6 %","28.6 %","10.2 %","14.3 %","6.0 %","33.3 %","4.08","30.3 %","63.1 %","45.5 %","70.7 %","89.6 %","82.8 %","46.2 %","62.2 %","7.8 %","19.1 %","7.9 %","4.29","4.80","11.2 %","40.4 %","37.1 %","22.5 %","18.5 %","53.9 %","27.7 %","4153"
"Steven Matz","Mets","27","3.97","8.88","3.39","2.62","7.83","1.46",".229","1.25",".267","74.9 %","1.36","15.4 %","48.8 %","35.8 %","6.6 %","16.6 %","6.3 %","33.3 %","4.13","23.4 %","63.3 %","43.0 %","63.7 %","84.2 %","78.5 %","49.0 %","56.6 %","9.3 %","23.2 %","8.9 %","4.10","3.92","14.4 %","36.9 %","37.6 %","25.6 %","17.3 %","49.8 %","33.0 %","13361"
"Jose Urena","Marlins","26","3.98","6.72","2.64","2.55","8.02","0.98",".239","1.18",".272","73.2 %","1.54","18.2 %","49.6 %","32.2 %","9.7 %","11.5 %","5.1 %","28.6 %","4.32","31.7 %","70.0 %","47.1 %","73.4 %","86.3 %","81.1 %","40.2 %","59.4 %","8.9 %","18.3 %","7.2 %","4.39","3.88","11.1 %","44.1 %","34.7 %","21.2 %","15.0 %","46.8 %","38.2 %","11589"
"Marco Gonzales","Mariners","26","4.00","7.83","1.73","4.53","9.29","0.92",".265","1.22",".319","72.0 %","1.49","25.1 %","44.9 %","30.1 %","11.3 %","11.3 %","11.2 %","50.0 %","3.59","35.9 %","64.5 %","48.2 %","73.9 %","85.7 %","80.7 %","43.0 %","66.3 %","9.3 %","21.1 %","4.7 %","3.81","4.10","16.5 %","45.7 %","34.8 %","19.5 %","17.3 %","48.7 %","34.0 %","15467"
"Felix Pena","Angels","28","4.00","8.30","2.80","2.96","8.20","1.00",".238","1.22",".287","72.0 %","1.31","25.1 %","42.5 %","32.4 %","8.3 %","11.9 %","4.5 %","50.0 %","3.92","32.2 %","61.7 %","44.6 %","61.6 %","86.9 %","76.3 %","41.9 %","62.0 %","10.6 %","22.1 %","7.5 %","4.08","4.00","14.6 %","37.9 %","35.6 %","26.4 %","18.0 %","42.5 %","39.5 %","13403"
"Tyler Skaggs","Angels","26","4.02","9.26","2.87","3.23","9.12","1.01",".260","1.33",".328","73.5 %","1.29","21.4 %","44.2 %","34.4 %","9.8 %","11.5 %","10.2 %","0.0 %","3.79","32.3 %","66.6 %","46.8 %","66.8 %","83.0 %","76.5 %","42.3 %","62.9 %","11.0 %","24.2 %","7.5 %","3.86","4.24","16.7 %","44.0 %","29.8 %","26.2 %","13.1 %","46.8 %","40.1 %","10190"
"Jose Quintana","Cubs","29","4.03","8.16","3.51","2.32","8.36","1.29",".243","1.32",".282","76.8 %","1.26","22.4 %","43.2 %","34.3 %","7.6 %","14.7 %","4.7 %","26.7 %","4.18","27.6 %","61.7 %","42.4 %","67.8 %","88.8 %","81.0 %","43.2 %","65.4 %","8.1 %","21.4 %","9.2 %","4.39","4.85","12.2 %","34.3 %","34.7 %","31.0 %","15.9 %","51.0 %","33.1 %","11423"
"Joe Musgrove","Pirates","25","4.06","7.80","1.79","4.35","8.82","0.94",".248","1.18",".294","69.2 %","1.34","20.5 %","45.5 %","34.0 %","11.0 %","10.2 %","8.9 %","25.0 %","3.92","35.9 %","68.9 %","52.7 %","62.7 %","86.0 %","78.2 %","50.9 %","68.3 %","11.5 %","20.6 %","4.7 %","3.93","3.67","15.8 %","43.1 %","33.0 %","23.9 %","20.0 %","46.2 %","33.8 %","12970"
"Joey Lucchesi","Padres","25","4.08","10.04","2.98","3.37","8.65","1.59",".250","1.29",".306","78.0 %","1.37","22.8 %","44.7 %","32.6 %","7.1 %","20.4 %","6.5 %","37.5 %","3.45","28.1 %","63.2 %","43.7 %","57.1 %","86.1 %","75.7 %","44.4 %","58.9 %","10.6 %","26.5 %","7.9 %","3.64","5.61","18.6 %","36.3 %","37.5 %","26.2 %","19.2 %","40.3 %","40.6 %","19320"
"Dan Straily","Marlins","29","4.12","7.28","3.83","1.90","7.87","1.47",".233","1.30",".256","75.4 %","0.76","25.5 %","32.1 %","42.4 %","11.5 %","13.5 %","3.6 %","18.2 %","4.99","30.0 %","68.9 %","46.3 %","63.7 %","87.8 %","78.8 %","42.0 %","60.0 %","9.8 %","19.1 %","10.0 %","4.92","4.27","9.1 %","43.1 %","36.1 %","20.8 %","13.9 %","39.2 %","46.9 %","9460"
"Steven Wright","Red Sox","33","4.13","6.38","3.75","1.70","7.88","1.13",".233","1.29",".257","75.5 %","1.73","15.5 %","53.5 %","31.0 %","9.1 %","13.6 %","2.6 %","100.0 %","4.63","23.4 %","68.0 %","42.7 %","68.1 %","85.6 %","80.1 %","43.2 %","62.4 %","8.5 %","16.8 %","9.9 %","4.83","4.13","6.9 %","39.7 %","34.3 %","26.0 %","17.8 %","45.2 %","37.0 %","8185"
"Pablo Lopez","Marlins","22","4.14","7.06","2.76","2.56","8.59","1.23",".249","1.26",".281","74.9 %","1.75","21.3 %","50.0 %","28.7 %","13.7 %","15.7 %","5.6 %","0.0 %","4.15","34.7 %","66.0 %","48.1 %","67.2 %","85.5 %","77.9 %","42.7 %","62.8 %","10.6 %","18.6 %","7.3 %","4.29","3.84","11.3 %","50.8 %","30.2 %","19.0 %","19.6 %","48.0 %","32.4 %","17085"
"Andrew Heaney","Angels","27","4.15","9.00","2.25","4.00","8.55","1.35",".246","1.20",".294","71.4 %","1.17","23.7 %","41.2 %","35.1 %","12.9 %","15.2 %","6.7 %","55.6 %","3.68","33.5 %","67.9 %","48.2 %","61.0 %","85.1 %","75.5 %","42.7 %","65.2 %","11.8 %","24.0 %","6.0 %","3.74","3.70","18.0 %","39.0 %","32.6 %","28.5 %","21.1 %","40.5 %","38.4 %","15423"
"Brian Johnson","Red Sox","27","4.15","7.86","3.41","2.30","9.64","1.78",".266","1.45",".296","80.3 %","0.80","19.0 %","36.0 %","45.0 %","11.8 %","14.1 %","4.4 %","50.0 %","4.91","28.9 %","62.7 %","42.9 %","64.0 %","91.7 %","80.8 %","41.6 %","57.5 %","8.2 %","19.8 %","8.6 %","4.65","7.71","11.2 %","47.6 %","33.5 %","18.9 %","16.2 %","47.6 %","36.1 %","14272"
"Hector Velazquez","Red Sox","29","4.15","6.82","3.86","1.77","10.38","1.48",".289","1.58",".323","72.1 %","1.55","19.4 %","49.0 %","31.6 %","16.1 %","16.1 %","2.1 %","0.0 %","4.82","33.3 %","73.3 %","50.3 %","68.4 %","89.9 %","81.7 %","42.5 %","70.6 %","9.2 %","16.9 %","9.6 %","4.85","5.93","7.4 %","48.0 %","33.7 %","18.4 %","19.4 %","42.9 %","37.8 %","19341"
"Carlos Rodon","White Sox","25","4.18","6.71","4.10","1.64","7.23","1.12",".218","1.26",".242","72.0 %","0.97","15.6 %","41.5 %","42.9 %","10.6 %","9.9 %","8.2 %","0.0 %","5.40","27.6 %","69.2 %","45.4 %","63.2 %","89.0 %","80.1 %","42.9 %","57.7 %","9.1 %","17.6 %","10.8 %","5.13","4.25","6.9 %","42.5 %","33.7 %","23.8 %","15.9 %","53.3 %","30.9 %","16137"
"Mike Minor","Rangers","30","4.18","7.57","2.18","3.47","7.91","1.43",".232","1.12",".259","72.5 %","0.77","20.7 %","34.4 %","44.9 %","13.1 %","12.1 %","5.1 %","33.3 %","4.53","32.9 %","68.8 %","48.6 %","71.0 %","84.7 %","79.5 %","43.6 %","58.0 %","10.0 %","20.6 %","5.9 %","4.27","5.22","14.7 %","37.0 %","41.8 %","21.2 %","19.9 %","42.2 %","37.9 %","10021"
"Caleb Smith","Marlins","26","4.19","10.24","3.84","2.67","7.33","1.16",".217","1.24",".276","74.1 %","0.56","20.8 %","28.4 %","50.8 %","18.0 %","10.0 %","8.9 %","40.0 %","4.42","30.4 %","70.7 %","47.7 %","64.5 %","82.0 %","75.6 %","42.9 %","59.8 %","11.6 %","27.0 %","10.1 %","4.08","3.72","16.9 %","41.6 %","28.2 %","30.2 %","18.8 %","44.1 %","37.1 %","14875"
"Ivan Nova","Pirates","31","4.19","6.37","1.96","3.26","9.56","1.45",".266","1.28",".288","73.7 %","1.34","20.5 %","45.6 %","34.0 %","9.7 %","14.8 %","11.9 %","25.0 %","4.28","32.0 %","70.1 %","48.1 %","68.1 %","90.0 %","81.6 %","42.3 %","57.4 %","8.9 %","16.7 %","5.1 %","4.42","5.09","11.6 %","40.8 %","34.0 %","25.3 %","17.2 %","51.3 %","31.5 %","1994"
"Tyler Glasnow","Rays","24","4.20","10.35","3.07","3.37","6.79","1.62",".207","1.10",".248","74.0 %","1.27","21.6 %","43.9 %","34.5 %","8.3 %","20.8 %","6.6 %","0.0 %","3.47","29.9 %","66.5 %","46.9 %","53.6 %","85.1 %","74.4 %","46.6 %","64.9 %","12.0 %","28.4 %","8.4 %","3.52","2.43","20.0 %","46.0 %","29.5 %","24.5 %","15.8 %","43.9 %","40.3 %","14374"
"Gio Gonzalez","- - -","32","4.21","7.79","4.21","1.85","8.79","0.89",".252","1.44",".301","73.3 %","1.40","22.5 %","45.3 %","32.2 %","8.6 %","10.4 %","6.1 %","11.1 %","4.44","28.5 %","65.5 %","42.7 %","66.2 %","85.6 %","77.6 %","38.5 %","53.8 %","9.6 %","19.8 %","10.7 %","4.73","5.00","9.1 %","43.9 %","31.8 %","24.3 %","17.1 %","51.3 %","31.7 %","7448"
"Tanner Roark","Nationals","31","4.25","7.30","2.50","2.92","8.95","1.15",".257","1.27",".295","73.0 %","1.08","21.6 %","40.8 %","37.6 %","10.8 %","11.3 %","4.5 %","11.1 %","4.41","30.8 %","66.9 %","45.5 %","69.9 %","89.3 %","81.5 %","40.7 %","60.8 %","8.4 %","19.3 %","6.6 %","4.38","5.10","12.7 %","37.9 %","34.3 %","27.8 %","20.2 %","51.4 %","28.5 %","8753"
"Shane Bieber","Indians","23","4.25","9.57","1.72","5.57","9.98","0.90",".277","1.30",".356","70.2 %","1.40","22.4 %","45.3 %","32.3 %","5.8 %","10.6 %","6.8 %","100.0 %","3.22","31.1 %","63.7 %","46.7 %","56.6 %","85.0 %","75.2 %","47.9 %","66.1 %","11.6 %","25.3 %","4.5 %","3.38","6.79","20.7 %","36.2 %","33.4 %","30.3 %","10.5 %","46.1 %","43.3 %","19427"
"Blaine Hardy","Tigers","31","4.26","6.25","2.13","2.94","8.78","1.20",".253","1.21",".278","68.6 %","1.06","16.1 %","43.1 %","40.8 %","9.3 %","10.5 %","12.1 %","33.3 %","4.67","31.2 %","62.5 %","44.6 %","68.3 %","89.0 %","80.7 %","42.7 %","67.7 %","8.6 %","16.9 %","5.7 %","4.59","3.86","11.1 %","44.9 %","32.7 %","22.4 %","18.7 %","44.4 %","36.9 %","6499"
"Austin Gomber","Cardinals","24","4.26","8.37","3.47","2.41","10.11","0.79",".277","1.51",".341","74.1 %","1.17","24.9 %","40.5 %","34.7 %","11.7 %","8.3 %","2.9 %","20.0 %","4.30","28.7 %","68.9 %","47.1 %","64.4 %","88.2 %","80.4 %","45.9 %","60.8 %","9.3 %","20.8 %","8.6 %","4.42","7.26","12.2 %","40.5 %","34.3 %","25.3 %","14.0 %","44.4 %","41.6 %","16561"
"Junior Guerra","Brewers","33","4.27","8.53","3.67","2.33","9.33","1.27",".263","1.44",".314","72.5 %","1.15","20.8 %","42.4 %","36.8 %","12.4 %","13.1 %","7.8 %","22.2 %","4.35","29.2 %","70.0 %","46.9 %","62.7 %","86.4 %","78.0 %","43.3 %","63.1 %","10.3 %","21.7 %","9.3 %","4.40","3.47","12.4 %","40.9 %","35.2 %","23.8 %","16.4 %","45.7 %","38.0 %","5702"
"Rick Porcello","Red Sox","29","4.28","8.94","2.26","3.96","8.33","1.27",".238","1.18",".285","70.9 %","1.23","20.2 %","44.1 %","35.7 %","9.2 %","13.8 %","7.9 %","20.0 %","3.87","30.9 %","65.6 %","47.0 %","68.3 %","88.8 %","81.6 %","46.3 %","66.7 %","8.7 %","23.5 %","5.9 %","3.77","6.68","17.6 %","42.6 %","37.7 %","19.7 %","18.8 %","47.8 %","33.4 %","2717"
"Luis Castillo","Reds","25","4.30","8.75","2.60","3.37","8.38","1.49",".242","1.22",".282","71.2 %","1.42","21.8 %","45.9 %","32.4 %","9.6 %","17.9 %","4.5 %","28.6 %","3.69","33.3 %","69.3 %","49.3 %","59.7 %","80.4 %","72.6 %","44.5 %","61.4 %","13.5 %","23.3 %","6.9 %","3.85","4.30","16.4 %","40.3 %","36.0 %","23.7 %","19.4 %","42.1 %","38.5 %","15689"
"Chris Archer","- - -","29","4.31","9.83","2.97","3.31","9.40","1.15",".266","1.38",".338","72.5 %","1.38","23.0 %","44.6 %","32.4 %","10.4 %","14.1 %","4.3 %","0.0 %","3.59","33.5 %","67.8 %","48.3 %","55.4 %","84.1 %","72.8 %","43.4 %","62.1 %","13.1 %","25.4 %","7.7 %","3.73","4.73","17.7 %","38.0 %","37.5 %","24.5 %","16.6 %","43.9 %","39.4 %","6345"
"Eric Lauer","Padres","23","4.34","8.04","3.70","2.17","10.21","1.21",".281","1.54",".332","74.7 %","1.08","27.5 %","37.6 %","34.9 %","10.2 %","12.7 %","10.2 %","14.3 %","4.51","27.9 %","68.2 %","46.4 %","73.1 %","85.5 %","81.5 %","46.0 %","59.7 %","8.6 %","19.8 %","9.1 %","4.62","4.02","10.7 %","34.9 %","33.5 %","31.5 %","16.8 %","43.5 %","39.8 %","19316"
"Zach Eflin","Phillies","24","4.36","8.65","2.60","3.32","9.14","1.13",".256","1.30",".309","68.4 %","1.08","20.6 %","41.2 %","38.2 %","10.5 %","11.2 %","6.5 %","27.3 %","4.02","30.6 %","68.8 %","48.3 %","65.6 %","85.3 %","78.6 %","46.5 %","64.8 %","10.3 %","22.5 %","6.8 %","4.02","6.12","15.7 %","36.6 %","36.6 %","26.8 %","20.5 %","50.4 %","29.1 %","13774"
"Mike Leake","Mariners","30","4.36","5.77","1.65","3.50","10.03","1.11",".278","1.30",".306","69.4 %","1.66","21.9 %","48.7 %","29.4 %","7.7 %","12.6 %","4.6 %","50.0 %","4.15","34.0 %","68.4 %","49.5 %","72.9 %","92.1 %","84.8 %","45.0 %","65.1 %","7.5 %","15.2 %","4.3 %","4.36","4.85","10.8 %","47.8 %","32.7 %","19.6 %","16.5 %","47.8 %","35.7 %","10130"
"Jakob Junis","Royals","25","4.37","8.34","2.19","3.81","9.25","1.63",".260","1.27",".298","74.8 %","1.13","20.9 %","42.0 %","37.1 %","9.6 %","16.2 %","7.6 %","20.0 %","4.13","31.8 %","64.0 %","46.4 %","61.7 %","90.3 %","79.6 %","45.4 %","62.7 %","9.5 %","21.6 %","5.7 %","3.98","4.22","16.0 %","41.2 %","33.8 %","25.0 %","16.4 %","42.5 %","41.0 %","13619"
"Tyson Ross","- - -","31","4.38","7.72","3.76","2.06","8.07","1.11",".236","1.31",".274","71.8 %","1.62","27.2 %","45.0 %","27.8 %","6.7 %","15.2 %","7.1 %","33.3 %","4.20","30.0 %","61.1 %","41.9 %","65.7 %","90.4 %","79.5 %","38.3 %","57.5 %","8.6 %","20.1 %","9.8 %","4.52","3.90","10.3 %","43.6 %","33.6 %","22.8 %","19.2 %","44.1 %","36.8 %","7872"
"Matthew Boyd","Tigers","27","4.39","8.40","2.69","3.12","7.71","1.43",".226","1.16",".258","71.1 %","0.58","21.1 %","29.0 %","49.9 %","10.4 %","11.2 %","5.0 %","60.0 %","4.72","29.6 %","68.0 %","46.1 %","66.3 %","84.6 %","77.9 %","43.1 %","58.5 %","10.2 %","22.4 %","7.2 %","4.31","4.28","15.2 %","43.0 %","31.8 %","25.2 %","19.3 %","43.2 %","37.5 %","15440"
"Freddy Peralta","Brewers","22","4.40","11.12","4.76","2.33","5.62","0.98",".177","1.15",".236","68.1 %","0.60","17.6 %","30.9 %","51.5 %","5.9 %","9.4 %","3.9 %","25.0 %","4.35","27.3 %","67.0 %","44.7 %","60.2 %","82.6 %","75.0 %","43.9 %","57.4 %","11.2 %","30.0 %","12.9 %","4.05","5.74","17.2 %","32.0 %","33.1 %","34.9 %","13.6 %","44.4 %","42.0 %","18679"
"Trevor Richards","Marlins","25","4.42","9.26","3.85","2.41","8.62","1.07",".248","1.39",".309","72.3 %","0.92","25.3 %","35.8 %","38.9 %","5.1 %","10.9 %","7.1 %","16.7 %","4.30","31.3 %","66.3 %","45.2 %","63.9 %","85.7 %","76.6 %","39.7 %","61.8 %","10.6 %","23.8 %","9.9 %","4.28","3.70","13.9 %","42.5 %","34.6 %","22.9 %","13.7 %","48.0 %","38.3 %","19309"
"Adam Wainwright","Cardinals","36","4.46","8.93","4.02","2.22","9.15","1.12",".255","1.46",".310","74.1 %","1.46","17.9 %","48.7 %","33.3 %","17.9 %","12.8 %","8.8 %","25.0 %","4.26","27.3 %","60.8 %","40.4 %","64.5 %","86.9 %","77.7 %","39.3 %","54.7 %","9.0 %","22.1 %","9.9 %","4.34","3.35","12.2 %","40.5 %","38.8 %","20.7 %","22.3 %","51.2 %","26.5 %","2233"
"Brett Anderson","Athletics","30","4.48","5.27","1.46","3.62","10.08","1.12",".283","1.28",".307","69.2 %","2.24","19.5 %","55.6 %","24.8 %","6.1 %","15.2 %","7.4 %","20.0 %","3.91","34.3 %","66.0 %","47.2 %","76.2 %","89.8 %","84.0 %","40.8 %","58.3 %","7.6 %","14.1 %","3.9 %","4.13","5.83","10.2 %","43.2 %","35.8 %","21.0 %","17.3 %","47.2 %","35.4 %","8223"
"Andrew Suarez","Giants","25","4.49","7.30","2.53","2.89","9.15","1.29",".264","1.30",".302","70.5 %","1.90","21.8 %","51.3 %","27.0 %","6.2 %","17.8 %","6.1 %","22.2 %","3.77","29.8 %","65.9 %","45.5 %","73.1 %","90.2 %","83.9 %","43.5 %","61.4 %","7.3 %","19.6 %","6.8 %","4.07","3.93","12.8 %","41.5 %","34.5 %","24.0 %","17.3 %","42.7 %","40.0 %","18300"
"Jake Odorizzi","Twins","28","4.49","8.87","3.83","2.31","8.27","1.10",".239","1.34",".290","69.7 %","0.58","22.8 %","28.4 %","48.8 %","12.9 %","8.9 %","3.8 %","50.0 %","4.87","31.7 %","72.3 %","47.1 %","69.9 %","84.3 %","78.3 %","38.1 %","57.0 %","10.2 %","22.8 %","9.9 %","4.55","4.38","12.9 %","36.7 %","30.4 %","32.9 %","19.5 %","44.0 %","36.5 %","6397"
"James Shields","White Sox","36","4.50","6.79","3.35","2.03","8.29","1.50",".241","1.29",".260","70.5 %","0.83","21.7 %","35.4 %","42.9 %","10.9 %","12.8 %","3.2 %","50.0 %","5.05","30.0 %","67.6 %","45.3 %","62.2 %","87.0 %","77.2 %","40.6 %","56.9 %","10.3 %","17.8 %","8.8 %","4.91","4.46","9.0 %","47.0 %","32.8 %","20.3 %","15.8 %","50.6 %","33.6 %","7059"
"Doug Fister","Rangers","34","4.50","5.45","2.59","2.11","9.95","1.50",".277","1.39",".291","70.2 %","1.92","23.2 %","50.4 %","26.3 %","13.6 %","18.6 %","8.8 %","0.0 %","4.56","28.1 %","60.0 %","41.1 %","81.2 %","91.9 %","87.6 %","40.8 %","58.8 %","5.1 %","13.8 %","6.6 %","4.68","3.14","7.3 %","49.6 %","30.8 %","19.6 %","17.9 %","42.4 %","39.7 %","9425"
"Daniel Mengden","Athletics","25","4.50","5.63","1.88","3.00","8.53","1.59",".241","1.16",".247","67.3 %","1.06","23.4 %","39.4 %","37.2 %","9.5 %","14.7 %","7.3 %","20.0 %","4.59","31.0 %","67.0 %","47.9 %","72.0 %","89.1 %","83.2 %","47.1 %","63.9 %","8.0 %","15.0 %","5.0 %","4.74","5.44","10.0 %","47.3 %","33.1 %","19.6 %","15.1 %","46.7 %","38.2 %","16980"
"Jordan Zimmermann","Tigers","32","4.52","7.61","1.78","4.27","9.59","1.92",".265","1.26",".288","71.4 %","0.81","22.0 %","35.0 %","43.0 %","9.0 %","15.7 %","6.9 %","0.0 %","4.35","33.4 %","68.6 %","48.0 %","68.7 %","89.5 %","81.0 %","41.5 %","64.9 %","9.1 %","20.0 %","4.7 %","4.20","5.69","15.3 %","35.3 %","40.5 %","24.2 %","15.8 %","46.0 %","38.1 %","4505"
