"Name","Team","Age","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","PA","playerid"
"Nick Ahmed","Diamondbacks","30",".246","8.7%","18.5%","0.47",".312",".423",".735",".176",".271","1.51","19.3%","48.6%","32.1%","9.0%","14.3%","6.5%","25.0%",".311","31.8%","74.2%","49.3%","64.8%","85.9%","78.0%","41.4%","62.1%","10.9%","42.8%","37.1%","20.1%","16.8%","46.9%","36.4%","578","12147"
"Jean Segura","Phillies","30",".269","6.3%","13.6%","0.46",".321",".407",".728",".139",".293","1.71","21.6%","49.5%","28.9%","15.7%","9.7%","7.9%","0.0%",".311","38.2%","62.8%","48.2%","75.7%","91.0%","83.8%","40.7%","63.4%","7.8%","34.2%","41.1%","24.7%","20.9%","44.7%","34.4%","588","5933"
"Roberto Perez","Indians","31",".232","8.9%","29.7%","0.30",".309",".421",".730",".190",".289","1.74","17.0%","52.7%","30.4%","4.4%","26.5%","3.4%","14.3%",".310","23.3%","57.8%","38.3%","57.1%","78.8%","71.4%","43.6%","56.5%","11.0%","33.3%","37.7%","29.0%","14.7%","44.2%","41.1%","384","2900"
"Rougned Odor","Rangers","26",".210","8.6%","29.1%","0.30",".285",".459",".744",".248",".240","0.69","17.4%","33.8%","48.9%","15.1%","19.1%","6.7%","50.0%",".309","33.3%","67.2%","47.4%","60.4%","85.2%","75.0%","41.7%","59.5%","11.9%","47.0%","31.2%","21.8%","20.3%","34.9%","44.9%","523","12282"
"Victor Caratini","Cubs","26",".249","8.9%","21.8%","0.41",".327",".388",".715",".139",".297","1.89","21.6%","51.3%","27.1%","7.8%","15.6%","3.3%","0.0%",".309","27.6%","69.7%","45.0%","62.0%","87.8%","78.5%","41.3%","59.9%","9.7%","31.8%","43.2%","25.0%","17.0%","50.9%","32.2%","349","14968"
"Austin Dean","- - -","26",".243","7.4%","25.0%","0.30",".299",".441",".741",".199",".298","1.62","23.2%","47.5%","29.3%","10.3%","17.2%","4.3%","0.0%",".309","37.3%","66.5%","48.5%","67.2%","85.8%","77.0%","38.2%","58.8%","11.2%","39.0%","35.0%","26.0%","13.0%","36.0%","51.0%","148","18288"
"Matt Carpenter","Cardinals","34",".218","12.4%","28.1%","0.44",".335",".367",".702",".149",".291","0.93","25.5%","35.9%","38.6%","2.4%","11.8%","5.1%","25.0%",".309","24.4%","62.5%","40.4%","55.4%","80.2%","71.5%","42.1%","54.9%","11.5%","49.1%","30.4%","20.5%","11.2%","47.3%","41.5%","395","8090"
"Brandon Crawford","Giants","33",".250","8.9%","20.0%","0.45",".323",".400",".724",".150",".294","1.55","23.1%","46.7%","30.2%","9.4%","12.3%","3.7%","50.0%",".309","33.3%","78.8%","52.6%","61.3%","83.4%","75.4%","42.4%","64.3%","13.0%","42.5%","38.8%","18.7%","17.6%","45.3%","37.1%","504","5343"
"Cedric Mullins II","Orioles","25",".272","6.1%","23.7%","0.26",".324",".379",".703",".107",".351","1.22","23.9%","41.8%","34.3%","26.1%","8.7%","7.1%","66.7%",".309","32.7%","67.9%","47.8%","68.2%","84.2%","78.0%","43.0%","59.7%","10.5%","46.8%","22.8%","30.4%","20.3%","59.5%","20.3%","114","17929"
"Tim Lopes","Mariners","26",".265","8.2%","22.2%","0.37",".333",".370",".703",".105",".342","1.80","23.6%","49.1%","27.3%","13.3%","4.4%","16.1%","0.0%",".308","34.4%","68.6%","49.7%","59.4%","82.1%","73.5%","44.7%","67.9%","13.2%","36.1%","31.9%","31.9%","21.1%","54.2%","24.7%","243","14137"
"Brian McCann","Braves","35",".235","9.6%","20.2%","0.48",".313",".406",".719",".171",".257","1.16","17.9%","44.1%","37.9%","14.6%","16.4%","0.0%","0.0%",".308","29.3%","66.2%","44.4%","74.2%","85.6%","81.1%","40.9%","55.8%","8.4%","49.0%","30.3%","20.7%","16.6%","42.8%","40.7%","208","4810"
"Lorenzo Cain","Brewers","34",".267","9.4%","17.5%","0.54",".341",".364",".705",".097",".314","1.94","26.4%","48.6%","25.0%","8.5%","9.9%","7.3%","0.0%",".308","27.2%","68.1%","44.8%","66.4%","92.2%","83.2%","42.9%","59.6%","7.5%","31.7%","37.0%","31.3%","13.7%","45.4%","40.9%","394","9077"
"Willie Calhoun","Rangers","25",".236","6.5%","16.4%","0.40",".289",".449",".738",".213",".234","0.81","17.4%","36.9%","45.7%","18.7%","14.2%","4.6%","0.0%",".308","32.2%","69.6%","48.1%","75.8%","90.7%","84.9%","42.5%","58.1%","7.3%","47.1%","35.5%","17.4%","20.1%","40.6%","39.3%","384","17838"
"Jake Bauers","Indians","23",".234","10.6%","29.4%","0.36",".317",".401",".718",".167",".309","0.86","28.9%","32.8%","38.3%","6.1%","14.3%","4.8%","50.0%",".307","27.8%","66.1%","42.8%","63.6%","82.8%","75.2%","39.3%","56.4%","10.6%","42.3%","31.5%","26.2%","14.6%","53.1%","32.3%","218","15194"
"Marwin Gonzalez","Twins","31",".256","6.7%","20.3%","0.33",".313",".409",".722",".152",".291","1.25","24.7%","41.9%","33.4%","4.9%","14.6%","3.9%","33.3%",".307","35.9%","66.1%","48.4%","69.9%","86.0%","79.0%","41.5%","59.9%","10.2%","41.5%","36.3%","22.2%","12.2%","49.5%","38.3%","434","5497"
"Niko Goodrum","Tigers","28",".239","9.3%","34.8%","0.27",".308",".417",".724",".178",".352","1.25","24.2%","42.2%","33.6%","6.7%","14.7%","6.4%","0.0%",".307","33.9%","70.8%","48.6%","49.3%","78.5%","66.2%","39.8%","61.0%","16.4%","38.8%","37.1%","24.1%","14.3%","46.0%","39.7%","400","12092"
"Tyler Flowers","Braves","34",".220","11.5%","36.0%","0.32",".326",".390",".716",".170",".339","1.17","22.1%","42.0%","35.9%","14.9%","14.9%","12.7%","0.0%",".307","32.2%","67.7%","47.3%","48.7%","75.0%","64.7%","42.5%","64.8%","16.7%","44.3%","30.5%","25.2%","13.0%","40.5%","46.6%","261","9134"
"Paul DeJong","Cardinals","26",".228","8.5%","25.8%","0.33",".303",".420",".723",".193",".262","0.84","17.9%","37.4%","44.8%","12.7%","15.8%","7.6%","0.0%",".307","31.8%","73.2%","50.0%","56.9%","86.6%","76.0%","44.0%","61.7%","12.0%","48.4%","32.3%","19.3%","17.9%","42.2%","39.9%","551","18015"
"Andrew McCutchen","Phillies","33",".247","8.0%","18.5%","0.43",".310",".396",".706",".148",".273","0.87","20.6%","37.0%","42.5%","8.1%","11.3%","11.1%","0.0%",".307","24.8%","62.2%","41.4%","66.4%","87.3%","80.3%","44.4%","54.5%","8.2%","46.6%","34.3%","19.2%","18.5%","39.7%","41.8%","200","9847"
"Greg Garcia","Padres","30",".240","13.5%","21.2%","0.64",".355",".325",".680",".085",".313","2.22","19.1%","55.8%","25.1%","6.0%","4.0%","8.1%","37.5%",".306","16.7%","55.8%","34.4%","71.5%","93.3%","87.5%","45.4%","57.2%","4.3%","26.1%","41.1%","32.9%","20.8%","48.8%","30.4%","325","10951"
"Justin Upton","Angels","32",".213","10.5%","29.2%","0.36",".303",".414",".717",".201",".251","0.85","15.7%","38.7%","45.7%","14.3%","18.1%","4.5%","0.0%",".306","26.7%","65.4%","43.4%","50.0%","81.6%","70.6%","43.1%","60.5%","12.8%","45.7%","33.5%","20.9%","17.4%","41.3%","41.3%","390","5222"
"Nomar Mazara","- - -","25",".255","6.4%","28.5%","0.22",".309",".411",".720",".156",".333","1.41","20.5%","46.4%","33.1%","6.3%","13.9%","5.4%","0.0%",".306","37.9%","67.2%","49.0%","63.7%","80.7%","72.5%","37.8%","61.9%","13.5%","33.1%","31.8%","35.2%","17.6%","41.0%","41.4%","375","14553"
"Stephen Vogt","- - -","35",".234","7.8%","22.1%","0.35",".292",".442",".735",".209",".268","0.56","21.4%","28.4%","50.2%","6.5%","9.3%","1.6%","0.0%",".305","36.8%","70.4%","49.8%","68.6%","83.2%","76.6%","38.8%","55.8%","11.7%","42.3%","34.9%","22.8%","10.7%","49.3%","40.0%","308","5000"
"Jason Castro","- - -","33",".215","13.1%","34.6%","0.38",".321",".377",".697",".162",".318","0.82","23.9%","34.3%","41.8%","1.8%","14.3%","8.7%","0.0%",".305","25.0%","68.8%","44.4%","52.6%","69.1%","64.0%","44.3%","55.4%","16.0%","37.0%","33.3%","29.6%","10.4%","37.8%","51.9%","260","8722"
"Javier Baez","Cubs","27",".244","3.7%","28.1%","0.13",".275",".459",".734",".214",".298","1.65","18.3%","50.9%","30.9%","5.6%","21.3%","10.1%","50.0%",".304","42.8%","73.5%","54.4%","54.2%","77.0%","65.9%","38.0%","63.9%","18.6%","40.3%","34.9%","24.7%","17.3%","48.9%","33.8%","520","12979"
"Cesar Hernandez","- - -","30",".269","7.2%","18.0%","0.40",".326",".378",".704",".109",".319","1.77","22.5%","49.6%","28.0%","12.1%","7.6%","9.8%","66.7%",".304","28.7%","64.9%","44.7%","71.1%","91.1%","83.9%","44.1%","62.8%","7.2%","37.2%","33.7%","29.1%","20.2%","47.2%","32.6%","650","10556"
"Domingo Santana","- - -","27",".218","12.5%","34.0%","0.37",".318",".383",".700",".165",".308","1.78","22.0%","50.0%","28.0%","3.9%","25.5%","7.7%","0.0%",".304","25.4%","69.6%","44.5%","48.1%","77.9%","68.3%","43.3%","63.4%","14.1%","45.6%","30.8%","23.6%","15.9%","42.3%","41.8%","344","10348"
"Nick Senzel","Reds","25",".241","6.9%","23.3%","0.30",".300",".413",".713",".171",".293","1.48","18.7%","48.5%","32.8%","10.4%","13.0%","9.7%","0.0%",".303","32.4%","75.5%","49.8%","64.7%","83.5%","76.2%","40.3%","62.6%","11.9%","39.6%","32.3%","28.1%","16.6%","43.4%","40.0%","348","19293"
"Victor Robles","Nationals","23",".251","5.4%","23.0%","0.23",".320",".385",".705",".134",".313","1.24","25.7%","41.2%","33.2%","16.7%","9.2%","10.7%","28.6%",".303","33.6%","72.1%","49.9%","64.0%","84.6%","76.6%","42.2%","65.2%","11.7%","46.8%","31.9%","21.3%","24.7%","49.5%","25.8%","557","18363"
"Raimel Tapia","Rockies","26",".284","5.4%","19.6%","0.28",".325",".372",".697",".089",".346","2.31","21.7%","54.6%","23.6%","5.4%","6.8%","7.0%","0.0%",".302","40.1%","77.4%","55.7%","70.4%","87.0%","80.0%","41.8%","65.3%","11.1%","31.8%","37.8%","30.5%","18.4%","52.1%","29.5%","424","14350"
"Freddy Galvis","- - -","29",".246","5.1%","23.8%","0.21",".291",".424",".715",".178",".287","1.16","19.2%","43.4%","37.5%","7.5%","15.8%","7.1%","40.0%",".302","38.5%","72.5%","52.4%","65.6%","82.3%","75.0%","40.9%","58.9%","13.1%","42.2%","33.3%","24.4%","14.7%","48.1%","37.2%","513","6609"
"Daniel Vogelbach","- - -","27",".193","16.1%","27.7%","0.58",".324",".365",".689",".172",".235","1.07","22.2%","40.2%","37.6%","7.1%","18.4%","1.9%","0.0%",".302","21.4%","51.6%","33.5%","63.1%","82.5%","75.1%","40.2%","50.2%","8.3%","38.7%","35.3%","26.1%","16.9%","46.0%","37.2%","466","14130"
"Josh Naylor","- - -","23",".246","8.9%","19.2%","0.46",".315",".387",".701",".141",".285","1.94","18.3%","53.9%","27.8%","11.9%","13.4%","3.9%","0.0%",".302","33.3%","63.5%","45.0%","69.9%","90.8%","81.3%","38.7%","60.1%","8.4%","38.6%","37.8%","23.7%","18.3%","43.2%","38.6%","338","18839"
"Tim Locastro","Diamondbacks","27",".241","6.4%","18.6%","0.35",".336",".338",".674",".097",".298","1.20","20.3%","43.5%","36.2%","17.2%","3.1%","22.1%","0.0%",".302","35.8%","57.4%","44.9%","73.5%","88.1%","81.3%","42.1%","58.7%","8.4%","42.3%","31.9%","25.8%","24.2%","44.5%","31.3%","264","15124"
"Albert Pujols","Angels","40",".244","7.0%","13.4%","0.52",".298",".417",".715",".173",".247","1.22","18.9%","44.6%","36.5%","14.9%","12.8%","4.1%","0.0%",".301","36.0%","62.5%","46.7%","73.1%","90.4%","82.4%","40.4%","54.6%","8.2%","51.6%","29.3%","19.2%","19.2%","44.8%","36.0%","487","1177"
"Alex Avila","- - -","33",".195","15.4%","37.1%","0.41",".327",".379",".705",".183",".291","1.52","27.7%","43.6%","28.7%","0.0%","29.6%","4.9%","0.0%",".301","18.3%","60.6%","36.6%","38.9%","74.6%","64.5%","43.3%","49.5%","13.0%","41.5%","39.4%","19.2%","9.6%","38.3%","52.1%","202","7476"
"Yairo Munoz","- - -","25",".279","3.3%","21.7%","0.15",".306",".401",".707",".122",".344","1.94","23.1%","50.8%","26.1%","14.3%","8.6%","8.8%","0.0%",".301","49.1%","79.5%","61.6%","57.7%","86.9%","73.1%","41.0%","73.3%","16.5%","42.5%","32.8%","24.6%","17.9%","46.3%","35.8%","180","16313"
"Eduardo Escobar","Diamondbacks","31",".240","7.2%","17.4%","0.41",".294",".435",".729",".195",".252","0.77","22.8%","33.5%","43.7%","7.7%","12.0%","3.1%","0.0%",".301","40.1%","73.3%","53.2%","70.5%","86.5%","79.2%","39.6%","62.2%","11.1%","41.4%","37.7%","20.9%","12.6%","48.5%","38.9%","637","6153"
"Jose Martinez","- - -","31",".228","10.9%","24.6%","0.44",".314",".382",".696",".154",".279","2.36","19.3%","56.7%","24.1%","2.2%","20.0%","5.7%","0.0%",".301","30.7%","61.6%","42.9%","65.5%","85.4%","76.8%","39.4%","60.4%","10.0%","34.0%","43.1%","22.9%","15.4%","48.4%","36.2%","293","7996"
"Shogo Akiyama","Reds","32",".239","13.8%","18.2%","0.76",".354",".291",".645",".052",".305","2.55","25.7%","53.3%","21.0%","0.0%","0.0%","3.6%","0.0%",".301","28.2%","63.4%","43.1%","70.9%","88.1%","81.7%","42.4%","59.8%","7.9%","26.7%","36.2%","37.1%","17.1%","58.1%","24.8%","159","27461"
"Scott Kingery","Phillies","26",".228","7.3%","28.8%","0.25",".289",".425",".714",".197",".290","0.79","25.2%","33.0%","41.7%","13.4%","13.4%","8.5%","0.0%",".300","33.5%","72.3%","50.1%","55.9%","79.1%","70.2%","42.7%","62.6%","14.9%","43.8%","33.2%","23.0%","14.6%","40.7%","44.7%","510","17975"
"Yadier Molina","Cardinals","37",".268","5.2%","14.7%","0.35",".313",".382",".696",".115",".293","1.03","25.6%","37.7%","36.7%","4.7%","8.5%","7.3%","0.0%",".300","41.5%","75.9%","55.4%","71.2%","85.5%","79.1%","40.4%","67.4%","11.6%","43.8%","33.5%","22.8%","16.2%","48.6%","35.2%","368","7007"
"Harold Castro","Tigers","26",".294","3.2%","23.0%","0.14",".314",".392",".706",".097",".371","2.16","25.7%","50.7%","23.5%","3.1%","7.8%","2.9%","33.3%",".300","41.5%","69.5%","53.3%","67.3%","85.7%","77.4%","42.2%","64.3%","12.0%","27.0%","41.7%","31.3%","10.1%","52.5%","37.4%","378","14691"
"Taylor Ward","Angels","26",".237","11.4%","33.3%","0.34",".324",".355",".679",".118",".368","1.37","22.4%","44.8%","32.8%","5.3%","5.3%","7.7%","0.0%",".300","25.4%","62.0%","41.9%","48.3%","85.3%","73.0%","45.1%","61.0%","11.3%","29.3%","46.6%","24.1%","8.6%","51.7%","39.7%","105","17548"
"Isiah Kiner-Falefa","Rangers","25",".286","4.7%","15.5%","0.30",".328",".355",".683",".069",".335","2.00","15.6%","56.3%","28.1%","4.6%","3.1%","10.0%","0.0%",".300","30.7%","64.9%","46.4%","69.7%","91.7%","83.8%","45.8%","60.5%","7.5%","32.3%","36.6%","31.0%","15.1%","49.6%","35.3%","296","16512"
"Willians Astudillo","Twins","28",".267","2.7%","6.3%","0.43",".306",".391",".697",".124",".263","0.92","23.5%","36.7%","39.8%","10.3%","7.7%","2.8%","0.0%",".300","42.5%","82.9%","56.9%","82.4%","96.7%","89.8%","35.7%","58.6%","5.8%","36.7%","37.8%","25.5%","20.4%","44.9%","34.7%","111","15608"
"Roman Quinn","Phillies","27",".237","6.9%","24.9%","0.28",".298",".399",".697",".162",".292","1.47","22.9%","45.9%","31.2%","17.7%","17.7%","12.0%","38.9%",".299","26.7%","67.3%","46.1%","47.5%","85.8%","74.3%","47.8%","60.3%","11.9%","47.2%","33.1%","19.7%","17.3%","52.8%","29.9%","189","13546"
"Matt Duffy","Rays","28",".252","11.2%","17.2%","0.66",".343",".327",".670",".075",".305","2.29","22.7%","53.8%","23.5%","10.7%","3.6%","3.1%","0.0%",".299","23.9%","61.8%","39.4%","67.4%","91.2%","82.6%","40.9%","60.4%","6.8%","32.8%","31.9%","35.3%","16.0%","47.9%","36.1%","169","13836"
"Pablo Reyes","Pirates","25",".231","8.7%","19.1%","0.45",".304",".394",".699",".163",".275","1.29","13.4%","48.8%","37.8%","9.7%","6.5%","5.0%","0.0%",".299","28.2%","73.4%","46.9%","77.9%","84.4%","82.1%","41.3%","55.7%","8.4%","42.7%","36.6%","20.7%","18.3%","42.7%","39.0%","115","16357"
"Jorge Alfaro","Marlins","27",".251","4.5%","33.2%","0.14",".300",".406",".705",".154",".351","2.16","20.7%","54.2%","25.1%","1.8%","22.8%","8.1%","0.0%",".299","50.7%","83.0%","62.4%","51.0%","77.3%","63.7%","36.3%","61.8%","22.6%","33.0%","37.4%","29.5%","16.3%","37.4%","46.3%","377","12180"
"Sean Rodriguez","- - -","35",".207","13.9%","31.5%","0.44",".333",".333",".667",".126",".294","1.16","22.6%","41.5%","35.9%","15.8%","15.8%","0.0%","0.0%",".299","24.6%","71.6%","43.3%","47.1%","80.9%","69.4%","39.8%","57.4%","13.3%","42.1%","29.8%","28.1%","21.1%","42.1%","36.8%","108","6589"
"Gary Sanchez","Yankees","27",".187","9.9%","31.2%","0.32",".286",".417",".703",".230",".209","0.84","17.6%","37.6%","44.9%","17.3%","22.7%","5.4%","0.0%",".299","34.6%","61.5%","44.4%","56.5%","82.8%","69.8%","36.6%","56.4%","13.4%","50.6%","28.6%","20.8%","20.0%","41.6%","38.4%","433","11442"
"Luis Urias","- - -","23",".242","9.2%","22.3%","0.41",".332",".336",".668",".093",".311","1.96","20.7%","52.6%","26.8%","7.0%","7.0%","8.9%","33.3%",".299","28.2%","61.9%","42.6%","72.7%","84.7%","80.1%","42.7%","62.8%","8.5%","36.6%","35.2%","28.2%","13.4%","54.2%","32.4%","328","16622"
"Enrique Hernandez","Dodgers","28",".242","6.0%","20.2%","0.29",".295",".411",".707",".169",".273","0.89","20.4%","37.5%","42.1%","14.4%","11.0%","6.7%","0.0%",".298","33.5%","72.4%","49.0%","62.0%","87.6%","77.1%","39.8%","56.7%","11.2%","44.6%","29.6%","25.7%","19.3%","45.0%","35.7%","386","10472"
"Myles Straw","Astros","25",".256","11.5%","21.0%","0.55",".342",".324",".666",".068",".336","1.44","24.2%","44.7%","31.1%","4.9%","0.0%","11.9%","0.0%",".298","23.3%","56.8%","37.7%","77.2%","91.0%","86.1%","43.0%","60.0%","5.2%","28.2%","34.1%","37.8%","15.6%","54.8%","29.6%","200","17620"
"Delino DeShields","- - -","27",".270","7.1%","26.2%","0.27",".326",".358",".684",".088",".371","1.57","24.7%","46.0%","29.3%","12.9%","4.3%","9.1%","38.1%",".298","26.8%","65.1%","43.7%","60.3%","85.3%","76.8%","44.2%","62.1%","10.1%","34.6%","33.9%","31.5%","13.1%","57.3%","29.6%","393","11379"
"Welington Castillo","White Sox","32",".228","3.9%","31.4%","0.13",".255",".476",".731",".248",".267","1.10","17.2%","43.4%","39.4%","12.8%","23.1%","2.3%","0.0%",".298","30.0%","63.6%","45.0%","52.5%","81.0%","70.4%","44.4%","59.5%","13.3%","43.4%","36.4%","20.2%","20.2%","39.4%","40.4%","153","3256"
"Oscar Mercado","Indians","25",".249","6.0%","18.1%","0.33",".295",".411",".705",".162",".277","1.06","20.7%","40.8%","38.6%","10.6%","10.6%","7.3%","9.1%",".298","30.8%","76.2%","50.0%","55.4%","88.3%","76.6%","42.4%","62.8%","11.7%","40.4%","35.9%","23.8%","16.9%","45.9%","37.2%","502","16375"
"Rio Ruiz","Orioles","26",".222","9.3%","22.4%","0.42",".294",".405",".698",".183",".249","1.34","18.4%","46.8%","34.8%","12.9%","17.2%","6.4%","50.0%",".298","30.1%","76.4%","50.1%","62.6%","84.5%","77.1%","43.2%","60.0%","11.5%","46.9%","30.6%","22.5%","20.7%","46.9%","32.5%","397","14103"
"Matt Thaiss","Angels","25",".202","11.1%","31.8%","0.35",".291",".405",".696",".202",".253","0.95","21.5%","38.3%","40.2%","9.3%","20.9%","4.9%","100.0%",".297","22.0%","75.4%","45.6%","57.4%","75.5%","70.6%","44.1%","60.9%","13.4%","50.9%","31.5%","17.6%","15.7%","44.4%","39.8%","189","19318"
"Danny Mendick","White Sox","26",".260","4.6%","23.4%","0.19",".292",".404",".696",".144",".311","1.61","21.8%","48.2%","30.0%","9.1%","15.2%","7.6%","100.0%",".297","29.2%","59.5%","42.9%","64.4%","84.0%","76.7%","45.1%","61.0%","10.0%","30.6%","34.2%","35.1%","22.5%","52.3%","25.2%","154","18889"
"Kevan Smith","- - -","32",".237","7.3%","22.0%","0.33",".301",".392",".693",".155",".278","2.28","27.4%","50.4%","22.1%","0.0%","20.0%","1.8%","0.0%",".297","31.6%","61.9%","44.3%","62.7%","89.8%","78.6%","42.0%","67.7%","9.5%","32.7%","34.5%","32.7%","13.3%","47.8%","38.9%","164","12284"
"Buster Posey","Giants","32",".259","7.5%","16.0%","0.47",".325",".357",".682",".098",".298","1.93","21.9%","51.4%","26.7%","1.8%","8.9%","3.7%","0.0%",".297","27.7%","71.5%","46.5%","68.2%","89.4%","82.2%","43.0%","61.9%","8.3%","34.6%","35.1%","30.3%","14.7%","49.8%","35.6%","281","9166"
"Tyler O'Neill","Cardinals","25",".224","8.3%","28.5%","0.29",".293",".397",".691",".174",".277","0.98","19.9%","39.7%","40.4%","13.1%","16.4%","16.7%","0.0%",".297","32.0%","72.1%","47.8%","49.7%","79.1%","67.2%","39.4%","64.9%","15.7%","44.4%","30.5%","25.2%","14.6%","46.4%","39.1%","242","15711"
"Robinson Chirinos","- - -","36",".214","9.8%","30.2%","0.32",".308",".381",".689",".167",".283","1.15","27.8%","38.7%","33.5%","10.8%","16.9%","6.7%","0.0%",".297","35.6%","69.7%","48.4%","50.2%","81.1%","66.9%","37.6%","63.9%","16.0%","48.2%","31.8%","20.0%","15.4%","43.1%","41.5%","338","3142"
"Josh Reddick","Astros","33",".251","7.3%","15.3%","0.48",".303",".390",".693",".139",".276","1.10","23.5%","40.0%","36.5%","16.4%","8.2%","3.8%","0.0%",".297","32.3%","72.3%","49.4%","71.2%","91.1%","83.6%","42.6%","60.3%","8.1%","38.9%","36.9%","24.2%","19.2%","49.9%","30.9%","522","3892"
"Danny Jansen","Blue Jays","25",".208","10.4%","18.8%","0.55",".299",".390",".688",".182",".216","0.75","22.0%","33.3%","44.7%","10.0%","13.6%","6.1%","0.0%",".296","28.1%","75.6%","47.6%","70.7%","89.3%","82.8%","41.1%","63.9%","8.2%","50.2%","28.9%","20.9%","15.7%","47.4%","37.0%","357","16535"
"Jose Osuna","Pirates","27",".247","5.7%","18.1%","0.32",".287",".419",".706",".172",".270","1.33","20.6%","45.2%","34.1%","8.1%","12.8%","6.1%","0.0%",".296","34.8%","76.6%","52.0%","66.1%","85.5%","77.9%","41.1%","66.0%","11.5%","36.9%","34.9%","28.2%","19.1%","46.8%","34.1%","332","12937"
"Adeiny Hechavarria","- - -","30",".241","6.1%","23.1%","0.27",".297",".395",".692",".154",".291","1.28","15.8%","47.3%","37.0%","1.9%","11.1%","14.5%","0.0%",".296","39.2%","72.8%","54.1%","62.7%","89.0%","78.4%","44.4%","67.9%","11.7%","41.5%","33.3%","25.2%","15.0%","49.0%","36.1%","212","10459"
"Gerardo Parra","Nationals","32",".237","4.9%","21.2%","0.23",".287",".421",".708",".184",".268","1.37","21.7%","45.2%","33.0%","5.3%","15.8%","3.9%","25.0%",".295","33.2%","70.9%","47.8%","66.1%","87.7%","78.5%","38.7%","61.8%","10.3%","39.5%","31.1%","29.4%","11.8%","59.7%","28.6%","165","8553"
"J.P. Crawford","Mariners","25",".222","11.7%","18.1%","0.65",".319",".351",".670",".129",".261","1.26","20.2%","44.4%","35.3%","10.5%","6.5%","4.5%","0.0%",".295","23.2%","63.6%","41.3%","71.3%","88.3%","83.1%","45.0%","57.0%","7.0%","39.3%","34.8%","25.8%","23.0%","46.4%","30.6%","514","15491"
"Ian Kinsler","Padres","37",".260","7.0%","23.7%","0.30",".316",".365",".681",".106",".329","1.21","19.5%","44.2%","36.4%","10.7%","7.1%","2.9%","100.0%",".295","32.9%","72.7%","50.2%","71.1%","87.9%","81.7%","43.5%","68.4%","9.2%","42.3%","43.6%","14.1%","25.6%","39.7%","34.6%","114","6195"
"Josh VanMeter","- - -","25",".211","10.7%","24.1%","0.44",".300",".383",".683",".172",".253","0.97","21.5%","38.7%","39.8%","9.5%","12.2%","1.4%","0.0%",".295","25.3%","58.3%","39.6%","62.2%","85.8%","77.3%","43.3%","56.9%","9.0%","46.3%","31.9%","21.8%","10.6%","41.5%","47.9%","290","15170"
"Michael A. Taylor","Nationals","29",".231","2.8%","24.8%","0.11",".259",".442",".702",".212",".264","1.21","16.2%","46.0%","37.8%","0.0%","17.9%","2.9%","50.0%",".294","29.7%","74.9%","50.5%","52.3%","82.1%","72.7%","46.1%","72.5%","13.8%","46.2%","37.2%","16.7%","14.1%","53.9%","32.1%","109","11489"
"Ben Gamel","Brewers","28",".229","11.5%","29.8%","0.38",".316",".352",".668",".123",".323","1.62","30.3%","43.1%","26.7%","7.7%","11.5%","4.8%","0.0%",".294","26.3%","62.6%","41.7%","54.0%","91.4%","77.8%","42.4%","59.9%","9.2%","33.3%","36.4%","30.3%","17.4%","50.8%","31.8%","332","12160"
"Harold Ramirez","Marlins","25",".259","3.8%","20.8%","0.18",".294",".401",".696",".142",".307","2.19","20.5%","54.6%","24.9%","11.0%","13.7%","11.9%","0.0%",".294","42.0%","73.3%","53.7%","65.5%","85.8%","75.8%","37.4%","65.3%","13.0%","34.8%","37.5%","27.7%","17.8%","47.1%","35.2%","395","14387"
"Matt Adams","- - -","31",".211","6.2%","35.2%","0.18",".266",".441",".706",".230",".265","0.65","21.0%","31.1%","47.9%","12.5%","21.3%","9.6%","100.0%",".294","36.1%","71.4%","49.6%","53.5%","80.4%","68.3%","38.1%","62.1%","15.7%","47.0%","29.8%","23.2%","20.8%","42.9%","36.3%","290","9393"
"Nico Hoerner","Cubs","23",".265","6.4%","16.9%","0.38",".319",".359",".678",".094",".304","2.79","24.8%","55.3%","19.9%","7.1%","10.7%","7.7%","0.0%",".294","39.3%","64.0%","48.9%","70.6%","94.6%","82.9%","39.1%","59.3%","8.4%","34.0%","44.0%","22.0%","24.1%","45.4%","30.5%","189","21479"
"Cesar Puello","- - -","28",".219","7.4%","27.4%","0.27",".336",".316",".652",".097",".307","5.78","20.8%","67.5%","11.7%","0.0%","22.2%","7.7%","0.0%",".293","33.8%","58.2%","43.5%","51.9%","85.5%","69.8%","40.0%","58.5%","13.1%","50.0%","32.1%","18.0%","26.9%","33.3%","39.7%","135","7216"
"Ehire Adrianza","Twins","30",".245","8.9%","18.8%","0.48",".321",".352",".673",".107",".303","1.17","26.1%","39.9%","34.0%","11.5%","1.9%","4.9%","40.0%",".293","29.8%","73.0%","49.2%","68.6%","91.6%","83.9%","44.8%","58.9%","7.9%","36.7%","34.2%","29.1%","12.0%","56.3%","31.7%","224","8418"
