"Name","Team","Age","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","PA","playerid"
"Kyle Seager","Mariners","32",".242","11.4%","17.4%","0.65",".337",".470",".806",".227",".246","0.80","21.3%","35.1%","43.7%","7.0%","16.0%","5.3%","100.0%",".340","26.9%","67.3%","43.4%","67.6%","87.4%","80.2%","40.9%","58.4%","8.6%","39.4%","37.8%","22.8%","11.9%","49.7%","38.5%","615","9785"
"Shohei Ohtani","Angels","25",".264","8.7%","26.7%","0.33",".328",".484",".812",".220",".328","1.74","23.2%","48.7%","28.1%","3.5%","23.0%","8.0%","0.0%",".340","33.2%","72.4%","48.8%","63.8%","79.2%","72.9%","39.9%","57.2%","13.3%","35.5%","35.2%","29.4%","11.6%","41.9%","46.5%","484","19755"
"Kolten Wong","Cardinals","29",".304","8.1%","15.1%","0.53",".376",".408",".783",".104",".355","1.50","22.7%","46.5%","30.9%","12.8%","4.6%","7.9%","35.3%",".339","31.8%","69.4%","47.1%","74.3%","92.1%","85.0%","40.8%","59.0%","7.1%","37.0%","36.0%","27.0%","18.4%","51.4%","30.3%","497","12532"
"Hunter Dozier","Royals","28",".257","10.1%","27.7%","0.36",".333",".472",".805",".215",".326","0.80","22.6%","34.5%","43.0%","14.6%","15.3%","6.4%","0.0%",".339","30.6%","68.6%","45.5%","48.0%","87.1%","71.1%","39.1%","60.5%","13.2%","40.8%","35.4%","23.8%","16.0%","42.0%","42.0%","516","15117"
"Franmil Reyes","- - -","23",".260","9.3%","29.5%","0.31",".327",".480",".807",".220",".323","1.43","19.1%","47.6%","33.3%","9.8%","25.9%","5.6%","0.0%",".339","33.3%","74.0%","49.2%","45.6%","76.3%","63.6%","39.1%","61.5%","17.9%","39.3%","38.1%","22.6%","14.0%","39.9%","46.1%","550","14566"
"Danny Santana","Rangers","29",".262","5.8%","30.7%","0.19",".307",".517",".824",".255",".326","1.18","22.1%","42.1%","35.7%","4.0%","25.0%","7.6%","0.0%",".338","40.8%","75.2%","55.1%","56.5%","79.1%","69.3%","41.5%","63.9%","16.9%","41.1%","34.3%","24.6%","10.7%","43.2%","46.1%","446","10322"
"Kurt Suzuki","Nationals","36",".267","7.5%","10.5%","0.72",".338",".463",".801",".196",".258","0.71","23.6%","31.8%","44.6%","13.9%","12.0%","3.9%","0.0%",".338","31.9%","75.3%","51.1%","68.3%","89.9%","82.4%","44.2%","62.3%","9.0%","46.3%","34.7%","19.0%","20.7%","48.4%","31.0%","305","8259"
"Joey Votto","Reds","36",".250","13.6%","18.7%","0.73",".353",".431",".783",".181",".281","1.00","25.1%","37.5%","37.5%","1.4%","13.8%","3.5%","0.0%",".338","20.5%","66.2%","39.9%","70.2%","88.0%","82.7%","42.5%","59.5%","6.9%","40.6%","34.9%","24.6%","8.8%","49.1%","42.1%","573","4314"
"Eric Thames","- - -","33",".240","9.1%","29.0%","0.31",".326",".481",".807",".240",".298","0.76","20.8%","34.1%","45.1%","12.6%","18.5%","4.4%","0.0%",".338","33.4%","72.1%","49.0%","54.5%","81.9%","70.8%","40.4%","64.0%","14.3%","41.3%","37.1%","21.6%","15.9%","38.6%","45.5%","442","3711"
"Phil Gosselin","Phillies","31",".278","11.0%","25.7%","0.43",".358",".423",".781",".144",".364","1.09","32.4%","35.3%","32.4%","4.6%","13.6%","12.5%","100.0%",".338","30.2%","58.1%","40.9%","74.1%","83.5%","79.2%","38.4%","61.5%","8.5%","31.9%","44.9%","23.2%","20.3%","44.9%","34.8%","109","10953"
"Tyler Naquin","Indians","29",".283","3.9%","21.9%","0.18",".315",".500",".815",".217",".324","1.17","20.7%","42.8%","36.5%","9.9%","16.1%","7.4%","0.0%",".337","39.8%","77.7%","55.4%","65.9%","84.0%","76.4%","41.2%","65.0%","13.1%","39.7%","33.9%","26.3%","16.5%","42.9%","40.6%","306","13359"
"Adam Eaton","Nationals","31",".268","9.3%","15.5%","0.60",".350",".435",".785",".167",".302","1.11","21.6%","41.3%","37.1%","6.0%","9.4%","8.4%","30.4%",".337","30.7%","64.9%","44.9%","73.7%","92.9%","85.2%","41.6%","58.9%","6.6%","33.7%","34.6%","31.8%","19.8%","45.7%","34.6%","579","11205"
"Starlin Castro","- - -","30",".288","3.7%","18.4%","0.20",".316",".500",".816",".212",".316","1.19","21.1%","42.9%","36.0%","9.2%","14.8%","5.9%","0.0%",".336","36.1%","71.9%","51.0%","67.5%","89.9%","80.6%","41.4%","60.4%","9.9%","44.4%","32.5%","23.1%","17.8%","40.9%","41.4%","510","4579"
"Brandon Belt","Giants","32",".252","13.8%","21.0%","0.66",".353",".431",".785",".180",".297","0.59","24.7%","28.1%","47.3%","5.4%","10.2%","0.0%","100.0%",".336","26.6%","75.9%","46.1%","66.0%","87.0%","79.7%","39.6%","57.1%","9.4%","41.9%","33.1%","25.0%","13.1%","44.7%","42.2%","552","10264"
"Trent Grisham","- - -","23",".251","10.7%","25.6%","0.42",".340",".444",".784",".193",".309","1.02","23.7%","38.6%","37.8%","11.0%","16.5%","8.6%","62.5%",".336","21.2%","59.2%","38.1%","66.8%","85.3%","79.7%","44.7%","55.7%","7.8%","40.6%","35.3%","24.1%","14.9%","52.2%","32.9%","402","18564"
"Austin Meadows","Rays","25",".251","9.2%","25.6%","0.36",".325",".478",".803",".227",".301","0.72","20.5%","33.2%","46.2%","7.6%","14.6%","5.7%","0.0%",".336","29.2%","63.8%","43.8%","61.8%","86.5%","76.9%","41.9%","61.7%","10.1%","47.0%","34.1%","18.9%","13.8%","43.2%","43.0%","575","15672"
"Bryan Reynolds","Pirates","25",".268","9.4%","23.3%","0.40",".344",".437",".782",".170",".334","1.47","23.8%","45.3%","30.8%","3.4%","12.6%","8.6%","0.0%",".334","29.9%","73.8%","47.0%","58.6%","87.0%","76.0%","38.9%","57.9%","11.3%","41.7%","34.2%","24.1%","15.3%","44.0%","40.7%","584","19326"
"Whit Merrifield","Royals","31",".297","5.6%","15.3%","0.36",".341",".447",".788",".149",".331","1.11","25.8%","39.0%","35.1%","6.9%","9.5%","7.1%","42.9%",".334","33.5%","71.4%","49.3%","74.1%","88.9%","83.0%","41.7%","59.0%","8.4%","35.6%","37.8%","26.6%","12.8%","53.2%","33.9%","698","11281"
"Willson Contreras","Cubs","28",".251","7.4%","24.5%","0.30",".329",".457",".786",".206",".298","1.63","17.6%","51.2%","31.3%","9.8%","20.7%","3.7%","0.0%",".334","38.8%","71.7%","51.4%","55.8%","80.1%","68.8%","38.3%","59.9%","16.0%","41.2%","37.8%","21.0%","19.5%","42.4%","38.2%","404","11609"
