"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","Start-IP","GS","IP","playerid"
"Jesus Tinoco","- - -","25","4.17","6.80","5.49","1.24","7.90","2.63",".240","1.49",".224","86.3%","1.26","18.5%","45.4%","36.1%","2.3%","27.9%","1.9%","0.0%","5.68","28.5%","70.9%","44.0%","65.6%","87.8%","78.7%","36.7%","48.9%","9.4%","17.6%","14.2%","5.59","4.83","3.4%","51.3%","28.6%","20.2%","26.1%","37.8%","36.1%","","0","41.0","16300"
"Chad Green","Yankees","29","4.20","12.17","2.10","5.80","7.69","1.40",".223","1.09",".300","70.0%","0.77","19.4%","35.0%","45.6%","17.8%","13.7%","10.7%","0.0%","3.63","31.2%","74.0%","51.0%","58.4%","79.9%","72.8%","46.2%","69.9%","13.9%","32.7%","5.6%","2.89","3.92","27.1%","28.1%","36.3%","35.6%","14.4%","41.3%","44.4%","","0","64.1","15552"
"Alex Claudio","Brewers","28","4.21","6.32","3.47","1.82","8.55","1.11",".246","1.33",".273","74.4%","2.30","20.2%","55.6%","24.2%","11.1%","16.7%","6.5%","40.0%","4.72","35.2%","62.7%","45.6%","62.1%","90.2%","76.7%","37.7%","64.4%","10.6%","16.2%","8.9%","4.62","4.58","7.3%","43.0%","33.8%","23.3%","26.3%","41.7%","32.0%","","0","72.2","12890"
"Jake McGee","- - -","33","4.25","8.83","2.38","3.71","9.34","2.04",".262","1.30",".295","76.1%","0.84","16.8%","38.1%","45.2%","7.1%","17.1%","10.2%","33.3%","4.82","24.9%","76.6%","49.9%","64.2%","84.4%","79.2%","48.4%","62.1%","10.4%","22.9%","6.2%","4.00","5.77","16.7%","39.2%","31.0%","29.8%","13.3%","38.6%","48.1%","","0","53.0","7550"
"Andrew Chafin","Diamondbacks","30","4.25","11.83","3.34","3.55","9.25","1.06",".261","1.40",".362","74.5%","1.37","28.3%","41.4%","30.3%","17.4%","15.2%","1.6%","25.0%","3.33","33.2%","69.3%","48.0%","49.8%","82.3%","69.0%","40.9%","60.1%","14.9%","30.2%","8.5%","3.38","6.22","21.7%","28.9%","43.0%","28.2%","16.0%","44.2%","39.7%","","0","59.1","12988"
"Jeremy Jeffress","- - -","32","4.27","7.44","3.17","2.35","8.13","0.69",".239","1.26",".287","65.9%","1.72","23.0%","48.7%","28.3%","7.4%","9.3%","4.3%","0.0%","4.56","30.3%","68.3%","46.3%","63.5%","89.6%","79.7%","42.0%","62.1%","9.4%","19.5%","8.3%","4.38","4.41","11.2%","31.6%","43.5%","24.9%","20.2%","42.5%","37.3%","","0","65.1","9490"
"Tyler Kinley","- - -","29","4.28","9.00","6.64","1.36","7.52","0.89",".226","1.57",".283","77.0%","0.98","21.6%","38.9%","39.5%","7.8%","9.4%","4.8%","0.0%","5.59","31.3%","69.5%","45.9%","52.7%","81.9%","69.6%","38.2%","57.9%","13.9%","22.3%","16.5%","5.41","5.75","5.9%","46.7%","27.9%","25.5%","18.8%","47.3%","33.9%","","0","61.0","18297"
"Mike Morin","- - -","28","4.28","4.61","1.81","2.55","7.74","0.99",".227","1.06",".237","61.6%","1.06","23.4%","39.4%","37.1%","12.3%","9.2%","4.3%","25.0%","5.37","38.1%","72.8%","52.9%","70.7%","84.9%","79.0%","42.8%","67.6%","11.1%","12.6%","5.0%","5.10","4.61","7.7%","38.0%","38.0%","24.0%","16.2%","47.5%","36.3%","","0","54.2","13442"
"Robert Stephenson","Reds","27","4.30","11.42","3.22","3.54","6.45","1.61",".192","1.07",".235","67.0%","0.68","22.2%","31.5%","46.3%","10.7%","16.0%","2.0%","50.0%","3.97","36.2%","70.2%","50.0%","40.2%","79.3%","62.4%","40.5%","61.3%","18.8%","31.0%","8.8%","3.45","4.03","22.3%","45.1%","34.2%","20.7%","16.5%","45.1%","38.4%","","0","67.0","13594"
"Luis Perdomo","Padres","27","4.30","7.42","2.80","2.65","8.28","0.97",".242","1.23",".283","68.2%","2.03","19.9%","53.7%","26.4%","4.6%","13.8%","6.1%","0.0%","4.10","34.8%","64.2%","47.5%","68.0%","89.5%","80.6%","43.2%","69.7%","9.2%","19.9%","7.5%","4.10","3.87","12.4%","43.0%","34.5%","22.5%","12.5%","48.6%","39.0%","","0","83.2","14682"
"Luis Garcia","- - -","33","4.34","8.67","5.04","1.72","8.81","1.68",".251","1.54",".288","75.7%","1.40","19.9%","46.8%","33.3%","8.1%","19.4%","9.2%","66.7%","5.11","31.4%","64.5%","44.6%","53.1%","86.7%","72.5%","39.9%","55.8%","12.3%","21.2%","12.3%","4.85","5.18","8.9%","33.9%","39.7%","26.5%","18.5%","42.9%","38.6%","","0","64.1","6984"
"Raisel Iglesias","Reds","30","4.34","12.21","2.58","4.73","7.98","1.53",".232","1.17",".313","73.5%","0.76","24.2%","32.8%","43.0%","15.0%","16.3%","4.9%","0.0%","3.54","34.8%","69.6%","49.3%","53.8%","75.7%","66.7%","41.8%","56.6%","16.4%","32.7%","6.9%","3.03","1.29","25.8%","38.1%","30.7%","31.2%","21.7%","40.7%","37.6%","","0","76.2","17130"
"Derek Holland","- - -","32","4.35","7.61","3.81","2.00","8.15","1.63",".234","1.33",".255","72.2%","1.15","21.1%","42.2%","36.7%","5.6%","16.7%","9.7%","0.0%","5.07","33.5%","69.3%","48.4%","66.7%","85.5%","77.9%","41.5%","65.1%","10.7%","19.5%","9.8%","4.77","3.62","9.8%","38.7%","38.0%","23.3%","13.3%","42.7%","44.0%","","0","49.2","4141"
"Austin Brice","- - -","28","4.40","9.40","3.79","2.48","7.58","1.52",".221","1.26",".260","72.5%","1.22","21.3%","43.3%","35.4%","10.3%","17.2%","8.5%","0.0%","4.71","33.1%","67.2%","47.0%","60.7%","84.0%","74.3%","40.7%","62.2%","12.1%","23.9%","9.7%","4.19","4.70","14.3%","36.0%","32.3%","31.7%","20.7%","43.9%","35.4%","","0","59.1","17237"
"Javy Guerra","- - -","33","4.41","7.46","2.37","3.14","9.15","1.24",".256","1.28",".292","71.9%","0.71","20.2%","33.1%","46.8%","8.6%","9.5%","4.9%","0.0%","5.26","33.2%","71.8%","52.2%","70.6%","87.9%","82.3%","49.2%","62.2%","9.2%","19.5%","6.2%","4.52","4.63","13.3%","32.7%","35.5%","31.9%","15.1%","46.6%","38.3%","","0","79.2","7407"
"Jairo Diaz","Rockies","29","4.41","9.48","3.63","2.61","9.35","0.91",".262","1.44",".333","65.1%","1.56","21.6%","47.7%","30.7%","8.2%","11.5%","9.5%","33.3%","4.27","33.8%","73.0%","50.1%","54.4%","85.3%","73.2%","41.7%","64.9%","13.4%","23.7%","9.1%","4.07","3.50","14.6%","39.6%","36.1%","24.3%","14.4%","47.5%","38.1%","","0","69.1","12774"
"Matt Magill","- - -","29","4.43","11.07","3.84","2.88","8.85","1.48",".244","1.41",".311","67.6%","1.05","24.4%","38.7%","36.9%","11.3%","16.1%","6.2%","0.0%","4.13","31.8%","68.1%","46.9%","50.3%","83.7%","70.5%","41.6%","62.4%","13.8%","27.4%","9.5%","3.84","5.02","17.9%","40.4%","38.6%","21.1%","15.8%","45.0%","39.2%","","0","61.0","3950"
"Jose Leclerc","Rangers","26","4.43","13.30","5.24","2.54","6.72","0.94",".202","1.33",".305","71.6%","0.67","21.7%","31.5%","46.9%","17.9%","10.4%","4.4%","40.0%","4.26","28.3%","66.9%","43.5%","57.0%","76.5%","68.8%","39.2%","56.9%","13.6%","33.9%","13.4%","3.72","1.88","20.6%","46.6%","29.7%","23.7%","18.9%","46.6%","34.5%","","0","67.0","14524"
"Derek Law","Blue Jays","28","4.45","10.32","5.88","1.76","8.89","1.11",".249","1.64",".320","75.4%","1.64","21.0%","49.0%","29.9%","10.6%","14.9%","10.4%","100.0%","4.69","28.3%","63.6%","42.3%","54.0%","83.8%","71.7%","39.6%","58.9%","12.0%","24.5%","14.0%","4.68","2.70","10.6%","42.5%","33.8%","23.8%","23.1%","38.8%","38.1%","","0","56.2","13133"
"Blaine Hardy","Tigers","32","4.47","5.89","2.64","2.23","7.71","2.03",".225","1.15",".215","73.0%","1.35","15.4%","48.5%","36.0%","10.2%","20.4%","4.5%","0.0%","4.98","34.5%","67.1%","47.9%","71.4%","84.2%","78.8%","41.1%","62.6%","10.2%","15.9%","7.1%","4.80","4.26","8.8%","46.4%","33.6%","20.0%","21.4%","39.3%","39.3%","","0","44.1","6499"
"Andrew Miller","Cardinals","35","4.48","11.34","4.33","2.62","7.91","1.64",".236","1.36",".304","73.7%","1.00","21.1%","39.5%","39.5%","10.3%","19.0%","8.6%","100.0%","4.44","30.1%","61.8%","43.9%","54.7%","80.7%","70.6%","43.4%","57.3%","12.9%","29.0%","11.1%","3.88","4.18","17.9%","36.9%","35.6%","27.5%","14.1%","37.6%","48.3%","","0","60.1","6785"
"Kevin McCarthy","Royals","28","4.48","5.43","3.12","1.74","10.58","0.68",".288","1.52",".323","72.2%","2.60","21.1%","57.0%","21.9%","8.0%","10.0%","4.6%","33.3%","4.67","36.1%","71.2%","51.0%","70.2%","89.4%","81.6%","42.4%","64.7%","9.4%","13.5%","7.7%","4.63","6.11","5.7%","45.0%","36.4%","18.6%","18.6%","42.0%","39.4%","","0","66.1","15240"
"Yoshihisa Hirano","- - -","36","4.50","10.13","3.86","2.63","8.52","1.13",".242","1.38",".309","69.8%","1.28","19.6%","45.1%","35.3%","13.0%","13.0%","14.5%","66.7%","4.32","36.6%","68.4%","47.9%","55.0%","84.5%","69.9%","35.5%","62.2%","14.4%","25.6%","9.8%","4.04","5.79","15.9%","45.5%","28.2%","26.3%","19.2%","42.3%","38.5%","","0","56.0","19756"
"Ryne Harper","- - -","31","4.52","8.78","1.86","4.71","9.58","1.33",".266","1.27",".318","70.3%","1.00","24.4%","37.8%","37.8%","13.2%","13.2%","10.5%","66.7%","4.18","31.5%","66.4%","48.0%","59.6%","85.2%","76.3%","47.2%","63.8%","11.4%","23.0%","4.9%","3.81","7.98","18.1%","50.5%","29.4%","20.1%","17.2%","38.7%","44.1%","","0","67.2","12680"
"Wander Suero","Nationals","28","4.54","9.94","3.02","3.29","8.32","0.54",".244","1.26",".330","65.7%","1.30","25.9%","41.8%","32.3%","9.9%","7.0%","3.3%","100.0%","3.84","31.0%","73.6%","50.5%","62.8%","77.9%","72.9%","45.9%","59.4%","13.7%","26.5%","8.1%","3.72","6.91","18.4%","35.9%","35.4%","28.7%","15.3%","47.1%","37.7%","","0","83.1","15855"
"Ian Kennedy","Royals","35","4.54","10.15","2.51","4.05","9.92","1.55",".273","1.38",".340","74.0%","1.13","17.3%","43.9%","38.8%","10.8%","15.7%","7.4%","0.0%","4.04","30.1%","71.6%","49.0%","65.9%","86.3%","79.5%","45.5%","62.1%","10.1%","26.0%","6.4%","3.61","1.91","19.6%","37.0%","31.5%","31.5%","15.1%","47.5%","37.4%","","0","75.1","6986"
"Miguel Castro","Orioles","25","4.55","9.61","4.65","2.07","8.09","1.31",".234","1.42",".286","71.7%","1.52","17.4%","49.8%","32.8%","12.3%","16.0%","8.1%","0.0%","4.46","30.8%","65.9%","44.9%","57.8%","84.7%","73.6%","40.2%","55.0%","11.8%","24.4%","11.8%","4.36","2.93","12.6%","41.3%","40.9%","17.8%","22.7%","44.5%","32.8%","","0","89.0","15684"
"Anthony Swarzak","- - -","33","4.56","8.78","4.56","1.93","8.78","2.03",".251","1.48",".280","78.8%","1.32","19.6%","45.8%","34.6%","15.1%","22.6%","5.7%","50.0%","4.76","29.3%","67.9%","44.1%","55.3%","85.3%","73.0%","38.4%","58.6%","11.9%","22.2%","11.5%","4.65","4.56","10.7%","44.5%","27.7%","27.7%","16.1%","43.2%","40.7%","","0","53.1","7466"
"Wade LeBlanc","Mariners","34","4.57","6.59","2.34","2.82","9.14","1.70",".260","1.28",".277","75.1%","1.10","18.8%","42.5%","38.7%","13.6%","15.5%","6.2%","66.7%","4.98","33.5%","70.5%","48.4%","68.7%","85.3%","78.4%","40.1%","69.2%","10.5%","17.5%","6.2%","4.60","4.25","11.3%","48.0%","28.3%","23.8%","15.2%","53.2%","31.6%","","0","84.2","5221"
"Sean Doolittle","Nationals","33","4.57","9.71","2.43","4.00","10.00","2.00",".270","1.38",".316","82.1%","0.42","21.3%","23.4%","55.3%","14.4%","13.5%","2.3%","0.0%","5.24","38.5%","82.0%","58.6%","68.5%","85.9%","79.8%","46.1%","66.2%","11.9%","24.5%","6.1%","4.18","2.43","18.4%","30.4%","35.1%","34.6%","18.3%","40.8%","40.8%","","0","63.0","1581"
"Robert Gsellman","Mets","26","4.59","8.63","3.20","2.70","9.05","0.97",".258","1.36",".317","68.9%","1.30","21.4%","44.4%","34.2%","9.4%","10.9%","8.4%","66.7%","4.61","31.3%","69.5%","47.2%","62.1%","84.7%","76.0%","41.7%","58.7%","11.3%","22.1%","8.2%","4.23","4.04","13.9%","35.8%","36.3%","27.9%","22.1%","45.8%","32.1%","","0","64.2","13696"
"Brandon Brennan","Mariners","28","4.62","8.69","4.81","1.81","6.66","1.11",".203","1.27",".242","67.2%","2.00","19.2%","53.8%","26.9%","2.9%","17.1%","8.6%","0.0%","4.31","30.9%","70.6%","46.6%","47.5%","79.6%","66.8%","39.6%","58.1%","15.5%","23.2%","12.8%","4.54","3.33","10.3%","46.9%","29.2%","23.9%","18.5%","50.8%","30.8%","","0","48.2","13527"
"Marcus Walden","Red Sox","31","4.66","8.59","4.14","2.08","7.76","0.93",".228","1.32",".278","65.2%","1.90","20.8%","51.8%","27.3%","10.4%","13.4%","5.5%","0.0%","4.38","34.0%","69.8%","47.6%","53.7%","89.8%","73.9%","38.1%","61.0%","12.5%","22.2%","10.7%","4.36","5.69","11.5%","39.0%","39.0%","22.0%","16.3%","50.8%","32.9%","","0","87.0","8004"
"Colin Poche","Rays","25","4.70","12.54","3.31","3.79","5.75","1.57",".180","1.01",".235","67.6%","0.29","19.3%","18.3%","62.4%","16.2%","13.2%","15.0%","50.0%","4.44","36.3%","75.4%","53.5%","62.2%","71.2%","67.7%","43.9%","65.7%","17.2%","34.8%","9.2%","3.36","3.48","25.6%","26.1%","32.4%","41.4%","18.0%","41.4%","40.5%","","0","51.2","19403"
"Jace Fry","White Sox","26","4.71","11.08","6.37","1.74","7.75","1.11",".229","1.57",".306","71.4%","2.31","20.9%","55.2%","23.9%","5.1%","20.5%","6.7%","0.0%","4.19","28.3%","61.8%","40.3%","41.4%","86.8%","66.5%","36.0%","47.3%","13.5%","27.2%","15.7%","4.54","4.57","11.6%","44.2%","37.0%","18.8%","15.2%","46.7%","38.2%","","0","65.0","16159"
"Sam Gaviglio","Blue Jays","30","4.74","8.12","2.46","3.30","8.03","1.64",".233","1.17",".258","69.3%","1.22","16.7%","45.8%","37.5%","7.4%","16.7%","8.3%","100.0%","4.53","30.6%","62.2%","44.0%","56.1%","86.9%","74.6%","42.6%","65.5%","11.2%","21.8%","6.6%","4.09","4.38","15.2%","43.9%","32.5%","23.5%","15.2%","49.5%","35.3%","","0","98.2","12778"
"Matt Andriese","- - -","30","4.76","9.93","3.52","2.82","8.79","1.03",".250","1.37",".321","69.4%","1.57","19.6%","49.2%","31.3%","10.7%","13.3%","7.6%","33.3%","3.98","29.4%","68.0%","46.4%","67.6%","85.5%","79.2%","44.2%","59.2%","9.6%","25.5%","9.0%","3.86","5.48","16.5%","36.2%","38.3%","25.5%","15.6%","43.6%","40.7%","","0","87.0","12022"
"Lou Trivino","Athletics","28","4.78","8.96","4.30","2.08","8.60","0.96",".247","1.43",".306","66.1%","1.14","16.0%","44.8%","39.2%","14.5%","9.6%","11.6%","40.0%","4.94","32.1%","69.0%","48.0%","58.9%","83.4%","74.0%","43.0%","62.8%","12.5%","22.7%","10.9%","4.52","3.58","11.8%","41.9%","28.6%","29.5%","21.7%","43.8%","34.6%","","0","75.1","15043"
"Tommy Milone","Mariners","32","4.80","6.69","1.67","4.00","8.03","2.01",".235","1.08",".236","70.5%","0.84","16.7%","38.0%","45.3%","9.0%","16.2%","7.5%","0.0%","5.10","35.7%","66.8%","46.9%","69.6%","88.9%","79.5%","36.0%","70.7%","9.6%","18.5%","4.6%","4.42","4.24","13.9%","43.3%","39.7%","17.0%","18.2%","45.8%","36.0%","","0","80.2","7608"
"Chris Stratton","- - -","28","4.83","9.26","3.13","2.96","9.65","1.43",".269","1.42",".326","69.0%","1.13","24.3%","40.1%","35.6%","9.7%","15.3%","4.9%","0.0%","4.25","31.9%","73.0%","49.3%","54.3%","86.1%","74.2%","42.4%","60.9%","12.7%","23.8%","8.0%","4.04","5.48","15.7%","29.6%","42.4%","28.1%","16.3%","44.3%","39.4%","","0","69.0","13761"
"Paul Fry","Orioles","27","4.83","9.13","4.30","2.12","8.61","1.04",".247","1.43",".307","66.1%","2.65","19.1%","58.8%","22.2%","4.7%","18.6%","6.1%","100.0%","4.10","25.7%","64.3%","41.7%","54.7%","88.0%","76.0%","41.5%","50.7%","10.0%","22.9%","10.8%","4.11","4.70","12.1%","36.6%","33.0%","30.5%","20.3%","53.3%","26.4%","","0","69.0","15832"
"Josh Osich","- - -","31","4.84","8.89","2.14","4.16","8.33","2.25",".240","1.16",".258","72.7%","1.21","21.1%","43.2%","35.7%","6.2%","24.7%","4.1%","50.0%","3.99","32.0%","69.1%","48.1%","54.6%","84.0%","73.0%","43.4%","64.0%","13.0%","24.1%","5.8%","3.73","2.25","18.3%","50.2%","29.7%","20.1%","18.3%","44.1%","37.6%","","0","80.0","11528"
"Victor Alcantara","Tigers","26","4.85","5.06","3.16","1.60","9.49","1.69",".273","1.41",".278","72.8%","1.67","14.3%","53.6%","32.1%","13.3%","17.8%","9.3%","0.0%","5.38","39.7%","69.2%","51.5%","69.9%","89.0%","80.2%","40.2%","61.0%","10.2%","13.2%","8.2%","5.10","2.95","5.0%","49.7%","29.1%","21.3%","18.4%","44.0%","37.6%","","0","42.2","15028"
"Kyle Crick","Pirates","27","4.86","11.34","6.48","1.75","7.92","1.80",".230","1.60",".288","72.6%","1.08","16.1%","43.5%","40.3%","6.0%","20.0%","9.3%","75.0%","5.26","31.3%","64.4%","45.0%","59.0%","82.5%","72.9%","41.3%","57.7%","12.2%","26.9%","15.4%","4.72","5.58","11.5%","32.8%","34.4%","32.8%","24.2%","46.1%","29.7%","","0","50.0","13182"
"Luke Bard","Angels","29","4.88","7.50","2.44","3.08","7.69","1.69",".230","1.13",".248","68.3%","0.76","21.0%","34.1%","44.9%","11.3%","14.5%","6.4%","0.0%","5.17","30.0%","67.0%","46.4%","50.4%","84.8%","72.4%","44.4%","63.6%","12.8%","20.5%","6.7%","4.42","2.81","13.9%","39.1%","34.8%","26.1%","21.0%","35.5%","43.5%","","0","48.0","14288"
"Pedro Strop","- - -","35","4.91","10.64","5.32","2.00","6.95","1.23",".210","1.36",".269","67.1%","1.66","15.5%","52.7%","31.8%","5.7%","17.1%","3.4%","0.0%","4.54","35.1%","68.4%","46.8%","55.7%","86.0%","71.3%","35.1%","54.9%","13.4%","26.9%","13.5%","4.33","2.66","13.5%","43.6%","37.3%","19.1%","14.6%","53.6%","31.8%","","0","44.0","4070"
"Luis Avilan","- - -","30","4.91","8.70","4.24","2.05","9.37","1.56",".266","1.51",".313","77.5%","1.53","23.5%","46.2%","30.3%","8.3%","19.4%","5.5%","0.0%","4.67","32.1%","60.5%","41.7%","59.3%","85.9%","72.3%","33.9%","59.4%","11.6%","21.7%","10.6%","4.49","6.69","11.1%","51.3%","31.9%","16.8%","18.5%","52.9%","28.6%","","0","40.1","2882"
"Tim Mayza","Blue Jays","27","4.91","9.64","4.73","2.04","7.89","1.40",".226","1.40",".272","71.2%","2.08","21.3%","53.2%","25.5%","8.3%","22.2%","2.7%","50.0%","4.10","37.7%","69.9%","47.6%","59.3%","83.8%","70.3%","30.6%","55.5%","14.1%","24.2%","11.9%","4.30","2.28","12.3%","39.9%","37.8%","22.4%","16.8%","46.2%","37.1%","","0","51.1","15042"
"Phil Maton","- - -","26","4.94","8.94","2.28","3.92","8.75","1.52",".245","1.23",".286","66.9%","1.30","23.7%","43.2%","33.1%","8.7%","17.4%","3.3%","0.0%","4.15","35.3%","70.2%","50.9%","59.1%","83.8%","74.3%","44.8%","62.8%","13.1%","23.0%","5.9%","3.83","5.89","17.2%","41.1%","29.1%","29.8%","14.2%","55.3%","30.5%","","0","47.1","18064"
"Shawn Kelley","Rangers","35","4.94","8.18","2.09","3.91","10.46","2.28",".286","1.39",".314","80.1%","0.65","25.9%","29.3%","44.9%","10.6%","18.2%","0.0%","0.0%","4.99","35.7%","71.2%","52.6%","69.4%","82.7%","78.0%","47.5%","62.4%","11.6%","21.0%","5.4%","4.30","6.27","15.6%","47.0%","35.6%","17.5%","17.5%","38.3%","44.3%","","0","47.1","7773"
"Ryan Brasier","Red Sox","32","4.95","9.89","3.48","2.85","8.55","1.34",".242","1.34",".300","67.1%","0.69","23.4%","31.4%","45.2%","11.8%","11.8%","5.1%","50.0%","4.80","37.9%","73.9%","53.0%","53.9%","82.6%","70.7%","41.9%","65.9%","15.5%","25.3%","8.9%","4.09","5.35","16.4%","43.2%","38.4%","18.4%","16.3%","41.1%","42.6%","","0","67.1","5615"
"Trevor Cahill","Angels","31","4.96","6.98","3.86","1.81","10.29","1.65",".286","1.57",".315","74.2%","1.72","18.5%","51.6%","29.9%","2.1%","19.1%","7.4%","100.0%","5.04","29.4%","65.1%","44.2%","62.4%","84.6%","75.9%","41.4%","56.8%","10.6%","17.3%","9.6%","4.80","2.20","7.7%","54.4%","27.9%","17.7%","16.5%","39.9%","43.7%","","0","49.0","6249"
"Justin Shafer","- - -","27","4.96","8.74","5.76","1.52","9.73","1.59",".271","1.72",".318","77.0%","0.59","26.5%","27.2%","46.3%","11.1%","12.7%","0.0%","0.0%","6.07","29.5%","75.4%","47.2%","63.4%","82.0%","74.9%","38.5%","56.6%","11.9%","20.8%","13.7%","5.33","4.17","7.1%","38.0%","27.7%","34.3%","19.7%","43.8%","36.5%","","0","45.1","16132"
"Yency Almonte","Rockies","26","4.97","7.99","2.84","2.81","9.95","1.42",".272","1.42",".314","65.3%","0.90","20.6%","37.5%","41.9%","11.9%","11.9%","6.7%","0.0%","5.10","30.3%","72.9%","47.4%","56.6%","87.9%","75.9%","40.1%","58.0%","11.4%","20.1%","7.1%","4.42","5.15","13.0%","29.8%","38.5%","31.7%","18.6%","36.7%","44.7%","","0","50.2","15068"
"Brad Brach","- - -","33","4.99","9.68","5.28","1.83","9.24","0.73",".267","1.61",".352","71.0%","1.10","25.0%","39.3%","35.7%","13.3%","8.3%","6.1%","50.0%","4.80","32.4%","70.2%","47.8%","63.3%","83.1%","75.1%","40.7%","65.2%","11.9%","24.2%","13.2%","4.69","3.82","11.0%","38.2%","34.1%","27.7%","18.8%","48.8%","32.4%","","0","61.1","6627"
"Jesse Chavez","Rangers","36","5.01","8.04","3.19","2.52","10.16","1.97",".284","1.48",".318","76.6%","1.19","23.3%","41.7%","35.0%","6.3%","20.6%","5.3%","66.7%","4.68","25.4%","66.1%","41.5%","76.0%","90.7%","85.3%","39.6%","59.9%","6.1%","20.5%","8.1%","4.41","5.01","12.4%","38.8%","37.7%","23.5%","16.4%","37.2%","46.5%","","0","59.1","5448"
"Adrian Sampson","Rangers","27","5.01","6.56","3.28","2.00","9.84","1.35",".274","1.46",".303","71.9%","0.94","19.2%","39.1%","41.7%","11.1%","11.1%","6.8%","0.0%","5.73","32.6%","71.9%","48.9%","65.1%","89.3%","79.8%","41.5%","63.1%","9.9%","16.5%","8.3%","5.03","4.82","8.3%","43.4%","32.9%","23.7%","19.1%","38.8%","42.1%","","0","46.2","13339"
"Edwin Diaz","Mets","26","5.01","16.33","3.73","4.38","8.74","2.06",".248","1.39",".397","79.2%","0.90","19.2%","38.4%","42.5%","4.8%","25.8%","12.5%","0.0%","2.79","34.6%","72.1%","50.6%","50.8%","71.0%","63.1%","42.5%","64.0%","18.7%","41.2%","9.4%","2.49","1.80","31.8%","40.8%","29.3%","29.9%","17.7%","35.4%","46.9%","","0","70.0","14710"
"Gabriel Ynoa","Orioles","26","5.05","7.19","2.14","3.36","10.29","1.75",".279","1.38",".306","64.2%","1.47","14.4%","51.0%","34.6%","3.8%","17.0%","9.0%","0.0%","4.60","31.2%","74.4%","48.5%","64.8%","91.4%","81.2%","40.2%","61.7%","9.1%","18.4%","5.5%","4.23","5.63","12.9%","51.0%","27.5%","21.6%","13.7%","52.9%","33.3%","","0","46.1","12938"
"Taylor Cole","Angels","29","5.08","8.53","4.26","2.00","9.34","0.41",".266","1.51",".341","65.0%","2.10","26.7%","49.6%","23.7%","3.2%","6.5%","4.6%","0.0%","4.27","30.9%","70.7%","46.4%","65.3%","83.3%","76.0%","39.0%","56.6%","11.2%","21.4%","10.7%","4.43","4.87","10.7%","45.8%","29.8%","24.4%","20.6%","45.0%","34.4%","","0","44.1","11964"
"Chris Devenski","Astros","29","5.09","9.91","2.87","3.45","8.87","1.70",".249","1.30",".299","72.2%","0.69","20.6%","32.5%","46.9%","11.0%","14.3%","3.2%","66.7%","4.72","33.5%","67.6%","47.9%","60.0%","81.8%","73.0%","42.1%","66.8%","12.9%","25.5%","7.4%","3.92","2.22","18.1%","40.1%","36.0%","23.9%","20.3%","35.0%","44.7%","","0","69.0","12763"
"Richard Bleier","- - -","33","5.10","5.25","1.35","3.89","10.20","0.75",".282","1.28",".313","61.3%","3.26","21.0%","60.5%","18.5%","10.5%","13.2%","9.7%","0.0%","4.00","34.6%","70.5%","51.3%","70.6%","90.4%","83.2%","46.4%","63.1%","8.6%","13.7%","3.5%","3.79","4.50","10.2%","39.8%","36.9%","23.3%","16.0%","53.4%","30.6%","","0","60.0","7803"
"Shawn Armstrong","- - -","28","5.12","9.60","4.09","2.34","9.47","1.15",".263","1.51",".330","69.1%","0.75","24.5%","32.4%","43.1%","11.4%","10.2%","10.6%","0.0%","5.13","29.2%","73.5%","49.0%","67.0%","80.5%","76.0%","44.6%","59.1%","11.7%","23.6%","10.1%","4.41","4.35","13.5%","34.5%","35.9%","29.6%","18.0%","44.7%","37.4%","","0","70.1","12857"
"Wilmer Font","- - -","29","5.13","10.11","2.41","4.19","9.50","1.81",".266","1.32",".323","72.1%","0.93","19.6%","38.7%","41.7%","12.9%","17.1%","6.2%","100.0%","4.24","32.8%","71.1%","49.3%","64.9%","80.4%","74.6%","43.1%","57.4%","12.6%","26.2%","6.3%","3.61","5.58","19.9%","42.9%","32.9%","24.1%","14.7%","41.2%","44.1%","","0","59.2","5257"
"Matt Albers","Brewers","36","5.13","8.60","4.37","1.97","7.99","1.21",".235","1.37",".280","69.1%","1.71","19.9%","50.6%","29.5%","12.2%","16.3%","8.3%","0.0%","4.55","29.7%","62.5%","41.4%","63.9%","88.9%","77.4%","35.9%","60.5%","9.4%","22.1%","11.2%","4.52","5.13","10.9%","43.8%","35.5%","20.7%","21.3%","46.8%","32.0%","","0","59.2","4300"
"Trey Wingenter","Padres","25","5.26","12.68","4.71","2.69","5.98","0.91",".183","1.19",".267","61.4%","0.86","24.8%","34.9%","40.4%","11.4%","11.4%","13.2%","0.0%","4.03","29.9%","70.0%","46.7%","36.6%","84.1%","66.3%","41.8%","58.8%","15.7%","33.2%","12.3%","3.63","3.62","20.9%","38.2%","35.5%","26.4%","18.2%","40.9%","40.9%","","0","49.2","17793"
