"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","Start-IP","GS","IP","playerid"
"Casey Sadler","- - -","28","2.78","6.38","3.44","1.86","7.85","1.15",".230","1.25",".252","85.4%","1.71","20.7%","50.0%","29.3%","10.4%","14.6%","7.3%","16.7%","4.88","31.7%","65.6%","44.2%","63.4%","88.9%","77.4%","36.9%","54.3%","10.0%","16.7%","9.0%","4.79","3.76","7.7%","48.8%","37.1%","14.1%","17.1%","45.3%","37.7%","","0","55.0","11209"
"Will Smith","- - -","30","2.79","12.80","2.79","4.59","6.08","1.52",".188","0.99",".254","90.2%","1.11","21.1%","41.4%","37.5%","7.0%","21.1%","3.2%","0.0%","2.89","35.4%","65.7%","47.7%","45.1%","83.7%","66.7%","40.8%","61.7%","15.9%","36.5%","7.9%","2.76","2.54","28.5%","39.6%","31.2%","29.2%","16.9%","43.5%","39.6%","","0","71.0","8048"
"Daniel Hudson","- - -","32","2.82","9.33","3.25","2.87","6.61","1.19",".199","1.10",".238","80.9%","0.70","16.5%","34.4%","49.1%","12.1%","10.3%","12.0%","0.0%","4.99","31.1%","72.9%","50.7%","65.1%","84.6%","78.3%","46.9%","63.6%","11.0%","25.1%","8.8%","4.11","3.90","16.3%","36.7%","36.2%","27.2%","17.2%","42.5%","40.3%","","0","83.0","7146"
"Reyes Moronta","Giants","26","2.86","11.12","5.24","2.12","6.51","0.64",".195","1.31",".272","81.2%","0.84","18.0%","37.4%","44.6%","9.7%","6.5%","13.5%","0.0%","4.83","29.0%","61.9%","42.2%","55.6%","83.0%","71.7%","40.2%","58.9%","12.0%","28.5%","13.4%","4.29","3.49","15.0%","37.1%","34.3%","28.6%","19.3%","45.0%","35.7%","","0","56.2","14966"
"A.J. Cole","- - -","28","2.88","9.30","2.66","3.50","9.30","0.89",".258","1.33",".325","72.3%","0.64","20.2%","31.1%","48.7%","13.8%","6.9%","21.6%","0.0%","4.83","31.5%","77.7%","51.1%","63.6%","79.1%","73.6%","42.3%","56.0%","13.5%","24.0%","6.9%","4.05","3.10","17.1%","42.2%","30.6%","27.3%","21.5%","43.0%","35.5%","","0","40.2","11467"
"Emilio Pagan","- - -","29","2.89","11.46","2.36","4.86","5.89","1.61",".182","0.92",".221","87.7%","0.67","18.5%","32.8%","48.7%","13.7%","15.8%","7.8%","0.0%","3.72","36.4%","73.9%","53.7%","57.4%","77.1%","69.9%","46.2%","68.1%","16.2%","32.8%","6.8%","3.03","4.18","26.1%","45.1%","27.2%","27.7%","18.0%","44.6%","37.4%","","0","84.0","14771"
"Nick Anderson","- - -","28","2.91","15.13","2.30","6.58","6.78","0.97",".203","1.01",".336","80.6%","0.61","27.5%","27.5%","45.0%","11.9%","11.9%","4.9%","0.0%","2.48","37.2%","73.0%","54.5%","46.8%","73.4%","64.0%","48.3%","67.3%","19.6%","42.1%","6.4%","2.13","4.12","35.7%","39.1%","33.1%","27.8%","13.9%","45.0%","41.1%","","0","74.1","18337"
"Rowan Wick","Cubs","27","2.91","9.55","3.95","2.42","7.27","0.21",".215","1.25",".293","70.1%","1.50","18.1%","49.1%","32.8%","13.2%","2.6%","7.0%","0.0%","4.33","30.3%","71.5%","49.0%","64.8%","83.8%","77.4%","45.6%","58.9%","11.1%","24.9%","10.3%","4.10","4.15","14.6%","34.2%","38.5%","27.4%","18.0%","47.0%","35.0%","","0","43.1","14646"
"Taylor Rogers","Twins","29","2.91","11.65","1.34","8.67","8.18","1.01",".236","1.06",".327","81.6%","1.57","19.0%","49.5%","31.5%","6.3%","14.3%","9.1%","20.0%","2.84","30.7%","62.2%","46.0%","58.9%","84.4%","75.7%","48.7%","67.3%","11.2%","31.8%","3.7%","2.64","2.35","28.1%","35.1%","37.1%","27.8%","19.5%","48.8%","31.7%","","0","80.1","13449"
"Diego Castillo","Rays","26","2.92","10.82","4.01","2.70","6.45","0.97",".199","1.16",".265","78.0%","1.75","13.2%","55.2%","31.6%","14.5%","14.5%","3.1%","0.0%","3.85","30.8%","62.7%","44.5%","46.7%","80.8%","67.3%","43.0%","55.9%","14.6%","29.1%","10.8%","3.69","5.23","18.3%","44.4%","32.0%","23.6%","18.0%","47.8%","34.3%","","0","74.0","17496"
