,Name,wOBA_current_year,preds,PA
327,Danny Jansen,0.29600000000000004,0.3455319070859197,357
98,Jeimer Candelario,0.35600000000000004,0.34522581042386835,387
52,Cam Gallagher,0.371,0.34495336857214676,143
131,Manny Pina,0.341,0.3449427197250351,174
39,Donovan Solano,0.376,0.3449130086903668,366
152,Tyler Naquin,0.337,0.34479494187554377,306
154,Starlin Castro,0.336,0.3447790630279698,510
169,Rowdy Tellez,0.33,0.34476710213811357,355
118,Austin Nola,0.34700000000000003,0.3442588670539374,424
123,Garrett Cooper,0.345,0.34425742389172015,427
230,Miguel Cabrera,0.318,0.34409357566376675,525
172,Anthony Santander,0.33,0.34387032731885564,566
205,Ryan McMahon,0.32299999999999995,0.3436439800040524,540
171,Chance Sisco,0.33,0.34347221821337137,295
121,Tommy Edman,0.345,0.34305357110128976,522
232,Joc Pederson,0.317,0.34302184415607767,454
333,Josh VanMeter,0.295,0.3428517278468174,290
156,Trent Grisham,0.336,0.3428441998405086,402
277,Tyler Flowers,0.307,0.3428333200227955,261
229,Randal Grichuk,0.318,0.3424910205622082,579
225,Robbie Grossman,0.319,0.34236362114721985,471
208,David Peralta,0.322,0.34213973211668675,402
287,Domingo Santana,0.304,0.3419696506776983,344
257,C.J. Cron,0.311,0.3418529719385601,340
184,Dexter Fowler,0.326,0.34174898367261747,467
215,David Bote,0.321,0.34172016015754886,321
200,Ian Desmond,0.324,0.3413643053911446,298
136,D.J. Stewart,0.341,0.34126643126998935,201
161,Evan Longoria,0.33399999999999996,0.3411117261484909,478
346,Hunter Renfroe,0.292,0.34101655755568216,435
166,Ryan Zimmerman,0.331,0.3403169681806031,104
288,Nick Senzel,0.303,0.34028803737425284,348
148,Kurt Suzuki,0.33799999999999997,0.34001581582832446,305
324,Tyler O'Neill,0.297,0.34001246308947314,242
358,Justin Smoak,0.287,0.3397829189575098,417
263,Roberto Perez,0.31,0.339499121494243,384
278,Paul DeJong,0.307,0.3393411883774529,551
190,Nick Solak,0.326,0.33928231587070645,328
322,Kevan Smith,0.297,0.33922207408459654,164
217,Garrett Hampson,0.321,0.3392076138561422,371
165,Jackie Bradley Jr.,0.332,0.3392011348916844,546
292,Daniel Vogelbach,0.302,0.3387833976445369,466
168,James McCann,0.331,0.3387193614100544,431
281,Justin Upton,0.306,0.3386784956135894,390
181,Dansby Swanson,0.327,0.33809160933406757,534
279,Andrew McCutchen,0.307,0.3376346401998394,200
301,Scott Kingery,0.3,0.33751880872160056,510
369,Russell Martin,0.284,0.33744965362765594,169
224,Bryan Holaday,0.319,0.3372821441744171,148
238,Jorge Polanco,0.315,0.3369771976304089,662
273,Willie Calhoun,0.308,0.3369390545885676,384
159,Whit Merrifield,0.33399999999999996,0.3368689125650582,698
212,Eddie Rosario,0.322,0.3366473297348243,553
329,Adeiny Hechavarria,0.29600000000000004,0.3365556303055001,212
261,Nick Ahmed,0.311,0.33654404580363584,578
206,Brian Goodwin,0.322,0.3363093714035575,415
267,Matt Carpenter,0.309,0.33624314810051614,395
320,Matt Thaiss,0.297,0.3360108885421592,189
245,Didi Gregorius,0.313,0.3359457933578248,531
204,Kevin Pillar,0.32299999999999995,0.3357853487560781,606
227,Andrew Benintendi,0.318,0.3355606878130585,427
203,Christian Vazquez,0.32299999999999995,0.3351603765097094,529
298,Eduardo Escobar,0.301,0.33502453022223866,637
192,Dylan Moore,0.325,0.33496162009438923,356
106,Alec Bohm,0.35200000000000004,0.3348917015661578,131
177,Jon Berti,0.32899999999999996,0.33483843934985036,333
228,Eric Sogard,0.318,0.334835832690622,414
254,Dustin Garneau,0.312,0.3347279274665128,119
308,Matt Duffy,0.299,0.33467096575671834,169
219,Martin Maldonado,0.321,0.33465769269221496,353
318,Oscar Mercado,0.298,0.334555055535763,502
151,Phil Gosselin,0.33799999999999997,0.3343870790369045,109
242,Tucker Barnhart,0.314,0.3343477155256232,312
248,Ender Inciarte,0.313,0.33428511790060134,206
375,Chad Pinder,0.28300000000000003,0.33417459375936437,281
178,Vladimir Guerrero Jr.,0.32799999999999996,0.3341181942283629,592
280,Greg Garcia,0.306,0.3339592522038144,325
239,Ronald Guzman,0.315,0.3335972045391882,261
283,Stephen Vogt,0.305,0.33347692294139164,308
241,Manuel Margot,0.314,0.3334744539227721,438
125,Kris Bryant,0.345,0.3333951548043777,523
271,Brian McCann,0.308,0.333382947059938,208
388,Ryan O'Hearn,0.27699999999999997,0.33329484183743074,302
211,Austin Hays,0.322,0.3329733571317307,163
250,Jedd Gyorko,0.313,0.3328604949813021,140
218,Matt Kemp,0.321,0.3326690420825279,118
282,Nomar Mazara,0.306,0.3325412818889322,375
199,Austin Romine,0.324,0.3323083524240297,267
312,Gary Sanchez,0.299,0.33226664254335736,433
259,Phillip Ervin,0.311,0.3321738396361487,314
179,Andrew Knapp,0.32799999999999996,0.33215708663821003,158
201,Colin Moran,0.324,0.33212272857374636,500
319,Rio Ruiz,0.298,0.3321103404970824,397
315,Myles Straw,0.298,0.3319827261508288,200
163,Aledmys Diaz,0.33299999999999996,0.33157335301199103,182
328,Jose Osuna,0.29600000000000004,0.331528093594628,332
323,Buster Posey,0.297,0.3313915822338243,281
223,Adam Frazier,0.319,0.3313449328199068,572
243,Jacob Stallings,0.314,0.33127085948381474,304
374,Gavin Lux,0.28300000000000003,0.3312090102982025,134
350,Derek Fisher,0.29,0.3312051710335521,185
379,Tim Beckham,0.281,0.33117290538134025,138
133,Luis Robert,0.341,0.3311525098882666,187
144,Kolten Wong,0.33899999999999997,0.3311201553661646,497
348,Harrison Bader,0.29100000000000004,0.32993977821376475,375
197,Pedro Severino,0.324,0.32991023009323805,378
355,Tony Kemp,0.28800000000000003,0.32971685403667245,283
293,Josh Naylor,0.302,0.329518038907051,338
173,Todd Frazier,0.32899999999999996,0.3294632968460571,530
160,Willson Contreras,0.33399999999999996,0.3294508773942936,404
309,Pablo Reyes,0.299,0.329359727663763,115
299,Jose Martinez,0.301,0.3293023247582082,293
286,Cesar Hernandez,0.304,0.32927894533200874,650
194,Wilson Ramos,0.325,0.3292093270901752,472
362,Stephen Piscotty,0.28600000000000003,0.3291684360769966,297
314,Enrique Hernandez,0.298,0.32895902306302094,386
251,David Dahl,0.312,0.32864586676433827,315
325,Robinson Chirinos,0.297,0.328550541470577,338
240,Hunter Pence,0.315,0.328420990241023,215
340,Ehire Adrianza,0.293,0.32841906812930216,224
274,Jake Bauers,0.307,0.32841013332223323,218
235,Pat Valaika,0.316,0.3283633775735271,179
275,Marwin Gonzalez,0.307,0.3282496366190341,434
337,Matt Adams,0.294,0.3281656641867315,290
258,Eric Hosmer,0.311,0.3281557430481571,562
180,Renato Nunez,0.32799999999999996,0.3279349917051069,578
207,Victor Reyes,0.322,0.3278412296966341,463
260,Kevin Newman,0.311,0.3277182925291676,595
231,Daniel Murphy,0.318,0.3276899546588404,483
386,Tyler White,0.278,0.32761521347243505,151
226,Mike Freeman,0.318,0.3276114350865776,198
304,Taylor Ward,0.3,0.3275804103227782,105
268,Brandon Crawford,0.309,0.32757302372845754,504
175,Brock Holt,0.32899999999999996,0.3274123207326469,340
417,Matt Wieters,0.257,0.32723110371872227,178
306,Willians Astudillo,0.3,0.3270493724279816,111
394,Sam Travis,0.27399999999999997,0.32701538785564954,150
311,Sean Rodriguez,0.299,0.3269763331530733,108
295,Albert Pujols,0.301,0.32688805943421884,487
345,Ildemaro Vargas,0.292,0.3268721536967401,179
222,Omar Narvaez,0.32,0.3268392226880971,418
291,Freddy Galvis,0.302,0.32683444097309217,513
410,Zack Collins,0.264,0.3268305565944701,120
335,Ben Gamel,0.294,0.3267683679081712,332
262,Jean Segura,0.311,0.3264936443083296,588
330,Gerardo Parra,0.295,0.32644236654582426,165
276,Niko Goodrum,0.307,0.3263980059295115,400
397,Khris Davis,0.272,0.3260670979123329,444
189,Jonathan Villar,0.326,0.32596531087103564,643
